internal_syndrome_name,retained_patients
Holoprosencephaly,11
Hutchinson-Gilford progeria,14
Hyper-IgE recurrent infection syndrome,7
Hyperphosphatasia with mental retardation syndrome,24
Hypoplastic left heart syndrome,1
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",4
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,3
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS",1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT SEIZURES; IDDBCS,2
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF,4
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA,10
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS; IDDDFP,3
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA",3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF,4
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPOTONIA AND BEHAVIORAL ABNORMALITIES; IDDHBA,3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES; IDDILF,2
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD",3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN,12
INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS; IDDSSAD,1
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF",3
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA",6
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21",11
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23",1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26",2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 38; MRD38",1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 40; MRD40",4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50",11
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 53; MRD53",2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5",12
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62; MRD62",6
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7",4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 13; MRT13",2
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67; MRT67",4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72",1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F",6
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33",5
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA",3
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BILLUART TYPE; MRXSBL",3
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CABEZAS TYPE; MRXSC",2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ",3
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD",1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL",1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN",2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE; MRXSR",1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB",13
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR",1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST",7
"INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1",1
Immunodeficiency-centromeric instability-facial anomalies,3
Infantile liver failure syndrome,2
JANSEN-DE VRIES SYNDROME; JDVS,3
JOHANSON-BLIZZARD SYNDROME; JBS,1
Joubert syndrome,13
KAGAMI-OGATA SYNDROME,1
KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS,4
KBG SYNDROME; KBGS,32
KCTD3,3
KDM2B,4
KEIPERT SYNDROME; KPTS,2
KOOLEN-DE VRIES SYNDROME; KDVS,4
KOSAKI OVERGROWTH SYNDROME; KOGS,1
Kabuki syndrome,35
Kenny-Caffey syndrome,1
Kleefstra syndrome,13
LAMB-SHAFFER SYNDROME; LAMSHF,2
LARON SYNDROME,2
LARSEN SYNDROME; LRS,4
LATERAL MENINGOCELE SYNDROME; LMNS,3
LESSEL-KREIENKAMP SYNDROME; LESKRES,4
LIG4 SYNDROME,6
LUSCAN-LUMISH SYNDROME; LLS,1
"Leukodystrophy, hypomyelinating",3
Linear skin defects with multiple congenital anomalies,1
"MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT; MACID",3
"MACROCEPHALY, DYSMORPHIC FACIES, AND PSYCHOMOTOR RETARDATION; MDFPMR",2
MACROCEPHALY/AUTISM SYNDROME,7
MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA; MFDA,1
"MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE; MFDGA",4
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",14
MAPKAPK5,1
MARSHALL SYNDROME; MRSHS,4
MARSHALL-SMITH SYNDROME; MRSHSS,1
MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP,4
MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES,2
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 48; MRD48",1
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 54; MRD54",3
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57",1
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 58; MRD58",2
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2",4
MOEBIUS SYNDROME; MBS,2
MOWAT-WILSON SYNDROME; MOWS,15
MUCOLIPIDOSIS II ALPHA/BETA,7
MYHRE SYNDROME; MYHRS,5
"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB",1
Mandibuloacral dysplasia with lipodystrophy,1
Meier-Gorlin syndrome,10
Menke-Hennekam syndrome,10
"Microphthalmia, syndromic",3
Mitochondrial DNA depletion syndrome,1
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type",1
Mucopolysaccharidoses,37
Multiple congenital anomalies-hypotonia-seizures syndrome,10
"Myopathy, centronuclear",2
"NABAIS SA-DE VRIES SYNDROME, TYPE 1; NSDVS1",2
NABLUS MASK-LIKE FACIAL SYNDROME; NMLFS,2
NAE1,2
NANCE-HORAN SYNDROME; NHS,2
NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES; NEDLBA,1
NEURODEVELOPMENTAL DISORDER AND STRUCTURAL BRAIN ANOMALIES WITH OR WITHOUT SEIZURES AND SPASTICITY; NEDBASS,2
"NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER; NDAGSCW",1
"NEURODEVELOPMENTAL DISORDER WITH CATARACTS, POOR GROWTH, AND DYSMORPHIC FACIES; NDCAGF",1
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES; NEDDFL,8
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL SKELETAL ANOMALIES; NEDDFSA,6
"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, IMPAIRED SPEECH, AND HYPOTONIA; NEDDISH",3
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM",2
"NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES; NEDHSB",3
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND DYSMORPHIC FACIES; NEDHYDF,3
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND VARIABLE INTELLECTUAL AND BEHAVIORAL ABNORMALITIES; NEDHIB,1
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, FACIAL DYSMORPHISM, AND BRAIN ABNORMALITIES; NEDHFBA",2
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, MICROCEPHALY, AND SEIZURES; NEDHYMS",1
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, NEONATAL RESPIRATORY INSUFFICIENCY, AND THERMODYSREGULATION; NEDHRIT",1
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, SEIZURES, AND ABSENT LANGUAGE; NDHSAL",2
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, STEREOTYPIC HAND MOVEMENTS, AND IMPAIRED LANGUAGE; NEDHSIL",2
"NEURODEVELOPMENTAL DISORDER WITH NEONATAL RESPIRATORY INSUFFICIENCY, HYPOTONIA, AND FEEDING DIFFICULTIES; NEDRIHF",13
NEURODEVELOPMENTAL DISORDER WITH NONSPECIFIC BRAIN ABNORMALITIES AND WITH OR WITHOUT SEIZURES; NEDBAS,1
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART; NEDBEH",2
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPOTONIA, SEIZURES, AND CEREBELLAR ATROPHY; NEDHSCA",3
NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE; NEDMIAL,11
NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS; NEDSDV,10
"NEURODEVELOPMENTAL, JAW, EYE, AND DIGITAL SYNDROME; NEDJED",2
NEUROFACIOSKELETAL SYNDROME WITH OR WITHOUT RENAL AGENESIS; NFSRA,1
NEUROOCULOCARDIOGENITOURINARY SYNDROME; NOCGUS,3
NICOLAIDES-BARAITSER SYNDROME; NCBRS,24
NIJMEGEN BREAKAGE SYNDROME; NBS,10
Noonan syndrome,34
Noonan syndrome-like disorder with loose anagen hair,4
O'DONNELL-LURIA-RODAN SYNDROME; ODLURO,5
OCULODENTODIGITAL DYSPLASIA; ODDD,4
OGDEN SYNDROME; OGDNS,17
"OHDO SYNDROME, SBBYS VARIANT; SBBYSS",7
"OHDO SYNDROME, X-LINKED; OHDOX",1
OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME; OCNDS,11
Opitz GBBB syndrome,3
Orofaciodigital syndrome,3
Osteogenesis imperfecta,2
"PACHYGYRIA, MICROCEPHALY, DEVELOPMENTAL DELAY, AND DYSMORPHIC FACIES, WITH OR WITHOUT SEIZURES; PAMDDFS",1
PGM2L1,2
PHELAN-MCDERMID SYNDROME; PHMDS,2
PIERPONT SYNDROME; PRPTS,2
PITT-HOPKINS SYNDROME; PTHS,14
POIKILODERMA WITH NEUTROPENIA; PN,5
"POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS; POIKTMP",3
POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME; POBINDS,2
PPFIA3,1
PRADER-WILLI SYNDROME; PWS,5
"PREMATURE AGING SYNDROME, PENTTINEN TYPE; PENTT",1
PRIMROSE SYNDROME; PRIMS,6
Pontocerebellar hypoplasia,2
RADIO-TARTAGLIA SYNDROME; RATARS,3
RAHMAN SYNDROME; RMNS,11
RAUCH-STEINDL SYNDROME; RAUST,2
RECQL,3
RETT SYNDROME; RTT,1
ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES,1
Robinow syndrome,1
Rothmund-Thomson syndrome,5
Rubinstein-Taybi syndrome,24
SAETHRE-CHOTZEN SYNDROME; SCS,4
SCAF4,3
SCHAAF-YANG SYNDROME; SHFYNG,8
SCHUURS-HOEIJMAKERS SYNDROME; SHMS,1
SHASHI-PENA SYNDROME; SHAPNS,6
"SHORT STATURE, BRACHYDACTYLY, IMPAIRED INTELLECTUAL DEVELOPMENT, AND SEIZURES; SBIDDS",1
"SHORT STATURE, OLIGODONTIA, DYSMORPHIC FACIES, AND MOTOR DELAY; SOFM",3
"SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS; SOFT",2
SHORT SYNDROME,1
SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS,1
"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1",1
"SKELETAL DYSPLASIA, MILD, WITH JOINT LAXITY AND ADVANCED BONE AGE; SDJLABA",1
SKRABAN-DEARDORFF SYNDROME; SKDEAS,1
SMITH-KINGSMORE SYNDROME; SKS,4
SMITH-LEMLI-OPITZ SYNDROME; SLOS,9
SMITH-MAGENIS SYNDROME; SMS,16
SOTOS SYNDROME; SOTOS,25
"SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSIVE; SPG50",4
SPINOCEREBELLAR ATAXIA 26; SCA26,2
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, SPONASTRIME TYPE; SEMDSP",2
STANKIEWICZ-ISIDOR SYNDROME; STISS,3
STEEL SYNDROME; STLS,1
STRUCTURAL BRAIN ANOMALIES WITH IMPAIRED INTELLECTUAL DEVELOPMENT AND CRANIOSYNOSTOSIS; BAIDCS,2
Seckel syndrome,6
"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies",1
Silver-Russell syndrome,2
"Skin creases, congenital symmetric circumferential",1
Spastic paraplegia,1
"Spinocerebellar ataxia, autosomal recessive",1
Stickler syndrome,2
TAF4,3
TAKENOUCHI-KOSAKI SYNDROME; TKS,1
TATTON-BROWN-RAHMAN SYNDROME; TBRS,7
TCEAL1,5
TMEM147,7
TOLCHIN-LE CAIGNEC SYNDROME; TOLCAS,3
TONNE-KALSCHEUER SYNDROME; TOKAS,2
TRICHOHEPATONEURODEVELOPMENTAL SYNDROME; THNS,2
TRPM3,1
TURNPENNY-FRY SYNDROME; TPFS,9
Teebi hypertelorism syndrome,2
Three M syndrome,3
Treacher Collins syndrome,4
Trichohepatoenteric syndrome,3
Trichorhinophalangeal syndrome,9
Trichothiodystrophy,1
VERHEIJ SYNDROME; VRJS,5
Van Maldergem syndrome,2
WARSAW BREAKAGE SYNDROME; WABS,1
WEAVER SYNDROME; WVS,5
WEISS-KRUSZKA SYNDROME; WSKA,3
WHITE-SUTTON SYNDROME; WHSUS,15
WIEDEMANN-STEINER SYNDROME; WDSTS,14
WILLIAMS-BEUREN SYNDROME; WBS,67
WITTEVEEN-KOLK SYNDROME; WITKOS,7
WOLF-HIRSCHHORN SYNDROME; WHS,1
Waardenburg syndrome,4
XIA-GIBBS SYNDROME; XIGIS,4
YOU-HOOVER-FONG SYNDROME; YHFS,1
YWHAZ,2
ZTTK SYNDROME; ZTTKS,16
Zimmermann-Laband syndrome,3
