syndrome_name,group,features_tested,significant_features,high_priority_features,max_abs_hedges_g,median_abs_hedges_g,disease_n,matched_healthy_n
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",European,125,0,0,1.6510332951975037,0.3134827974969148,5,143
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",Middle Eastern,125,0,0,3.042104232129461,0.733868660483844,2,142
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",South Asian,125,0,0,2.681104654816214,0.7984460687193785,2,143
ALSTROM SYNDROME; ALMS,East Asian,125,51,19,1.3299858752224134,0.3846187291773462,25,143
ALZAHRANI-KUWAHARA SYNDROME; ALKUS,Middle Eastern,125,0,0,2.436225773780729,0.3838989725226927,5,142
ANGELMAN SYNDROME; AS,African,125,0,0,1.2295224909730789,0.2559868584579203,7,143
ANGELMAN SYNDROME; AS,East Asian,125,18,18,1.5981229219407804,0.3108177262340595,10,143
ANGELMAN SYNDROME; AS,European,125,62,8,1.012785609751354,0.2668024517169009,98,143
ANGELMAN SYNDROME; AS,Latino/Hispanic,125,0,0,1.5368719166323277,0.3831677851251665,5,143
ANGELMAN SYNDROME; AS,South Asian,125,0,0,1.2014705101189707,0.3551077683475766,4,143
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1,European,125,0,0,3.5595578154296117,0.5570292702600173,2,143
APERT SYNDROME,European,125,0,0,1.8244546571422324,0.41463963214499067,3,143
ARBOLEDA-THAM SYNDROME; ARTHS,African,125,50,0,3.6191475720877384,0.8222622504756102,5,143
ARBOLEDA-THAM SYNDROME; ARTHS,European,125,35,4,1.124778461328701,0.21537918756795033,44,143
ATAXIA-TELANGIECTASIA; AT,South Asian,125,0,0,2.15434989528122,0.47865004779210363,2,143
AU-KLINE SYNDROME; AUKS,East Asian,125,0,0,2.245397762778084,0.5134488884988752,2,143
AU-KLINE SYNDROME; AUKS,European,125,52,21,1.3164470716387042,0.43341059080684863,25,143
AYME-GRIPP SYNDROME; AYGRP,European,125,20,11,1.4875257578476044,0.33977128051426864,19,143
Acrodysostosis,European,125,0,0,2.44260181246462,0.6089814750205728,2,143
Acromesomelic dysplasia,African,125,0,0,2.7321811568419325,0.7296161382041871,2,143
Alagille syndrome,East Asian,125,0,0,1.1927740886971177,0.23562140738619264,5,143
Alagille syndrome,European,125,6,0,1.2056605897751278,0.4466547511274893,9,143
Alagille syndrome,Middle Eastern,125,0,0,2.440378634977964,0.5156678188686814,4,142
Alagille syndrome,SE Asian,125,34,25,1.726306392258124,0.3681612550723426,13,143
Alagille syndrome,South Asian,125,0,0,4.87257458079784,0.7244800382721096,3,143
"Arthrogryposis, distal",African,125,7,0,2.6028861829798973,0.45897108449376783,5,143
"Arthrogryposis, distal",East Asian,125,0,0,3.855178755095469,0.9039606917600795,2,143
"Arthrogryposis, distal",European,125,53,16,1.6278228843039302,0.35459057295669094,31,143
"Arthrogryposis, distal",Middle Eastern,125,0,0,1.796190648281444,0.47817021597699055,4,142
"Arthrogryposis, distal",South Asian,125,0,0,2.204600218405043,0.5175043865560045,4,143
Auriculocondylar syndrome,African,125,0,0,2.3025297611495468,0.511969665490858,2,143
"Autism, susceptiblity to",East Asian,125,0,0,3.4551315509968044,0.4644560934878735,2,143
"Autism, susceptiblity to",European,125,53,14,1.0851160149332426,0.4285176489128934,25,143
BAINBRIDGE-ROPERS SYNDROME; BRPS,European,125,1,1,1.0689411286356305,0.31372049598137036,12,143
BAKER-GORDON SYNDROME; BAGOS,European,125,0,0,1.3032677002849808,0.4957098802644468,2,143
BARBER-SAY SYNDROME; BBRSAY,European,125,0,0,2.385666653112144,0.5811930263106927,4,143
BASILICATA-AKHTAR SYNDROME; MRXSBA,European,125,3,2,0.9029858202355818,0.3234209423405503,21,143
BASILICATA-AKHTAR SYNDROME; MRXSBA,Latino/Hispanic,125,0,0,3.878458818501828,0.6307973156467668,2,143
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,European,125,0,0,1.9725082298045915,0.4018725839631939,4,143
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,Middle Eastern,125,0,0,3.2203170166681336,0.39843700924026293,3,142
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,South Asian,125,0,0,2.370620839715757,0.8676201593208981,2,143
BECK-FAHRNER SYNDROME; BEFAHRS,European,125,0,0,1.3786878992264646,0.430094589969026,4,143
BECKWITH-WIEDEMANN SYNDROME; BWS,African,125,0,0,3.512645594318686,0.672934913300942,2,143
BECKWITH-WIEDEMANN SYNDROME; BWS,European,125,0,0,1.3208712437655703,0.36424564677502796,8,143
BECKWITH-WIEDEMANN SYNDROME; BWS,SE Asian,125,0,0,2.594248393675823,0.8187815164663457,2,143
BECKWITH-WIEDEMANN SYNDROME; BWS,South Asian,125,0,0,1.7572222187147903,0.44887041170070896,5,143
BIRK-BAREL SYNDROME; BIBARS,European,125,0,0,2.1963436860235284,0.40049819791588587,2,143
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",African,125,0,0,2.9273583707611426,0.580510745670705,2,143
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",European,125,3,3,1.866121698792194,0.3340997162440765,10,143
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",Latino/Hispanic,125,54,36,2.7451484590382518,0.560771011376598,11,143
BOHRING-OPITZ SYNDROME; BOPS,African,125,0,0,2.428077235935598,0.5729410286602136,2,143
BOHRING-OPITZ SYNDROME; BOPS,European,125,0,0,1.2560674618497945,0.38506285869419365,9,143
BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS,European,125,20,14,1.373772907995244,0.2859798380271778,21,143
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS,European,125,0,0,1.4578630079071087,0.3500228711483803,5,143
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,African,125,0,0,2.40857859634936,0.36451300561917427,3,143
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,European,125,0,0,2.4474051083333084,0.355970837139151,3,143
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,Middle Eastern,125,0,0,2.188406946844808,0.4209874022200818,2,142
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,SE Asian,125,0,0,2.474322640544473,0.6342631791425054,2,143
BRANCHIOOCULOFACIAL SYNDROME; BOFS,European,125,14,0,2.814572978480477,0.43882871788714894,7,143
BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG,European,125,0,0,2.719332588464527,0.363659299971691,2,143
BURN-MCKEOWN SYNDROME; BMKS,European,125,14,0,1.8391997861971703,0.3312742728900435,8,143
BURN-MCKEOWN SYNDROME; BMKS,South Asian,125,0,0,2.264545157189298,0.40240505415463346,3,143
Baraitser-Winter syndrome,European,125,52,8,1.1044606575089242,0.2855114968629971,47,143
Baraitser-Winter syndrome,Latino/Hispanic,125,0,0,3.731815653868453,0.6827716396836968,2,143
Bardet-Biedl syndrome,African,125,0,0,2.4544469648848,0.49580080794246795,3,143
Bardet-Biedl syndrome,European,125,49,21,1.8646213612423803,0.4013421231578134,21,143
Blepharocheilodontic syndrome,African,125,0,0,3.104383515585748,0.6254515634035606,2,143
Blepharocheilodontic syndrome,East Asian,125,0,0,2.9254145356075547,0.5496328105566628,3,143
Blepharocheilodontic syndrome,European,125,0,0,2.2318438685650848,0.7011017870900635,2,143
CANTU SYNDROME,African,125,0,0,1.6114420005200085,0.389075870766114,3,143
CANTU SYNDROME,European,125,17,0,1.806316152392759,0.3013452217636436,9,143
"CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD",European,125,0,0,1.5783007604797312,0.3107648950599463,3,143
CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF,European,125,0,0,1.7612175907651006,0.491714108583316,3,143
CAREY-FINEMAN-ZITER SYNDROME; CFZS,European,125,16,0,1.7461450768835072,0.5338208285403748,7,143
CATEL-MANZKE SYNDROME; CATMANS,European,125,0,0,2.1507517671111636,0.6335265900325424,2,143
CDH8,European,125,0,0,3.5057725808231934,0.5533590013469559,3,143
CEBALID SYNDROME; CEBALID,European,125,21,11,1.6129439064910254,0.3155082408827133,18,143
CEBALID SYNDROME; CEBALID,Middle Eastern,125,0,0,2.8862405092633012,0.4819040653521163,2,142
CEBALID SYNDROME; CEBALID,South Asian,125,0,0,2.5851007746015995,0.5091308592498003,2,143
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR",Middle Eastern,125,0,0,2.212098619813021,0.40736134807900665,4,142
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",African,125,0,0,2.4801536326481353,0.509063931669396,2,143
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",Middle Eastern,125,0,0,1.6121609147621476,0.37017990380035964,11,142
CEREBELLOFACIODENTAL SYNDROME; CFDS,European,125,2,0,1.8962469354948077,0.28918284914399983,7,143
CEREBROCOSTOMANDIBULAR SYNDROME; CCMS,European,125,4,0,1.6691179351534988,0.4998068520472212,8,143
CHANARIN-DORFMAN SYNDROME; CDS,European,125,0,0,1.753451431243571,0.44349242096528774,2,143
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3; CMT4B3",European,125,0,0,4.783252858780808,0.7028851267380378,3,143
CHARGE SYNDROME,African,125,0,0,2.008402619590237,0.3926402887132323,2,143
CHARGE SYNDROME,East Asian,125,39,20,2.112486447066902,0.32747584423846937,20,143
CHARGE SYNDROME,European,125,4,4,1.3029094762472022,0.19556710815237505,20,143
CHARGE SYNDROME,Latino/Hispanic,125,0,0,2.723480042956638,0.4000345564089926,3,143
CHITAYAT SYNDROME; CHYTS,European,125,0,0,2.037535677241602,0.5107624162148847,4,143
CHOPS SYNDROME; CHOPS,African,125,0,0,2.5109019123805196,0.7978903661957598,2,143
CHOPS SYNDROME; CHOPS,European,125,0,0,1.6148276771660766,0.39422791699507953,7,143
CHROMOSOME 18q DELETION SYNDROME,African,125,0,0,4.325086033440951,0.560655210593652,2,143
"CHROMOSOME 1p36 DELETION SYNDROME, DISTAL",African,125,0,0,1.8378269406430414,0.38034245004350203,2,143
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",African,125,29,0,2.4423208013374293,0.5514941268080892,7,143
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",European,125,39,28,1.5541559485903151,0.46874878050996766,10,143
CHROMOSOME 2q37 DELETION SYNDROME,European,125,0,0,1.987230708142474,0.3263713135900208,3,143
CHUNG-JANSEN SYNDROME; CHUJANS,European,125,34,11,1.6993584450580008,0.2989950319159782,29,143
CIMDAG SYNDROME; CIMDAG,European,125,0,0,2.8978650465602716,0.5081502234576523,3,143
CK SYNDROME; CKS,European,125,0,0,1.9641282221540928,0.5012228619281626,3,143
CLARK-BARAITSER SYNDROME; CLABARS,European,125,8,6,1.1785137227241842,0.2959462540450493,24,143
CLARK-BARAITSER SYNDROME; CLABARS,Middle Eastern,125,0,0,2.032750813439462,0.4978068673976038,2,142
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",European,125,3,3,1.215115346353913,0.3139687213838456,13,143
CLEIDOCRANIAL DYSPLASIA; CCD,African,125,0,0,1.8147420392205726,0.43745931485982714,4,143
CLEIDOCRANIAL DYSPLASIA; CCD,East Asian,125,24,0,1.8346187922210522,0.37121784267344843,9,143
CLEIDOCRANIAL DYSPLASIA; CCD,Latino/Hispanic,125,0,0,2.4342414732687443,0.8454884820140747,2,143
CLEIDOCRANIAL DYSPLASIA; CCD,South Asian,125,0,0,3.1509515767071594,0.5073876440780934,3,143
COCKAYNE SYNDROME A; CSA,African,125,0,0,2.496493484331537,0.7370127941881528,2,143
COFFIN-LOWRY SYNDROME; CLS,African,125,0,0,2.7270353039226407,0.7245073664277727,3,143
COFFIN-LOWRY SYNDROME; CLS,East Asian,125,44,0,3.4033454688978244,0.4947553614279965,9,143
COFFIN-LOWRY SYNDROME; CLS,European,125,30,27,2.4532165284842646,0.3757947366899997,12,143
"COGNITIVE FUNCTION 1, SOCIAL; CGF1",African,125,35,24,1.6692966418743111,0.3719280214757517,15,143
COHEN SYNDROME; COH1,African,125,0,0,2.212058764573743,0.49135834021961766,2,143
COHEN SYNDROME; COH1,European,125,35,6,0.9590158375542961,0.23902130846572195,53,143
COHEN SYNDROME; COH1,Middle Eastern,125,0,0,1.989272201784045,0.5181810173517181,2,142
COHEN-GIBSON SYNDROME; COGIS,European,125,0,0,1.639673456629258,0.35610759364116756,5,143
"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY; CAKUTHED",European,125,0,0,3.106956748682102,0.8437134823919278,3,143
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN",European,125,0,0,1.0967754226205713,0.3505082475560387,7,143
"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD",European,125,0,0,2.337301461450916,0.4096599741973656,2,143
"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD",European,125,37,21,1.6779013656220525,0.37401897014383184,18,143
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",African,125,0,0,2.8085844212667066,0.46298048704400724,3,143
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",European,125,34,23,1.649126531495492,0.36960790386457343,15,143
"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",European,125,0,0,2.719683476591474,0.5747349000552235,2,143
COSTELLO SYNDROME; CSTLO,East Asian,125,21,0,3.4187119380035402,0.3738372915387616,6,143
COSTELLO SYNDROME; CSTLO,European,125,24,13,1.0775371229343846,0.3717339494603476,25,143
COSTELLO SYNDROME; CSTLO,Latino/Hispanic,125,10,0,2.5515291194509833,0.4000431952357511,4,143
COSTELLO SYNDROME; CSTLO,Middle Eastern,125,0,0,2.07721904375462,0.4530591760594386,2,142
"CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR",European,125,4,0,2.769628443273856,0.3158015236673311,4,143
CRANIOFACIAL MICROSOMIA; CFM,European,125,0,0,2.122135940852679,0.5311925700088322,4,143
CRANIOFRONTONASAL SYNDROME; CFNS,East Asian,125,21,0,3.198044891207595,0.5263189640136621,7,143
CRANIOFRONTONASAL SYNDROME; CFNS,European,125,53,22,2.500370556019366,0.45871487339244266,21,143
CRANIOFRONTONASAL SYNDROME; CFNS,Latino/Hispanic,125,7,0,2.522372898749604,0.4773882178773462,5,143
CRANIOFRONTONASAL SYNDROME; CFNS,South Asian,125,35,0,6.265783917976734,0.7011713916083318,4,143
CROUZON SYNDROME,African,125,45,0,3.9852069742250995,0.6773655216306931,7,143
CROUZON SYNDROME,East Asian,125,26,0,4.159039356326675,0.5573531474686049,6,143
CROUZON SYNDROME,European,125,49,22,2.5847700062732972,0.46837794385476716,20,143
CROUZON SYNDROME,Middle Eastern,125,20,0,5.4120403120176475,0.8027823808485283,3,142
CROUZON SYNDROME,SE Asian,125,55,0,4.02115620328951,0.7436996061354084,6,143
CROUZON SYNDROME,South Asian,125,13,0,2.8799584422080224,0.4480277167463713,9,143
CSNK1G1,European,125,0,0,1.5483834239817633,0.4057430864396964,3,143
CURRARINO SYNDROME,European,125,0,0,3.029793874971353,0.4086410964535036,2,143
CYSTIC FIBROSIS; CF,European,125,0,0,1.5224167824326689,0.44419724495511975,3,143
Cardiofaciocutaneous syndrome,European,125,57,24,1.4292858368630361,0.4135320183010084,25,143
Cardiofaciocutaneous syndrome,SE Asian,125,13,0,1.8348896239751342,0.47745320936651636,5,143
"Central hypoventilation syndrome, congenital",African,125,0,0,2.389543895685119,0.5140974043076662,2,143
Cerebral creatine deficiency syndrome,European,125,0,0,2.6416981331348612,0.7844877682227775,2,143
Coffin-Siris syndrome,African,125,0,0,2.5377920814140387,0.5093172751035109,3,143
Coffin-Siris syndrome,East Asian,125,0,0,1.40354179373196,0.6096853320055028,4,143
Coffin-Siris syndrome,European,125,74,3,0.8797908305309603,0.3315893160282336,119,143
Coffin-Siris syndrome,Latino/Hispanic,125,0,0,3.86167532246105,0.632061608394947,2,143
Coffin-Siris syndrome,Middle Eastern,125,0,0,2.910547541709176,0.692453492074854,3,142
Cold-induced sweating syndrome,European,125,0,0,2.3151188340243234,0.6406161321367008,5,143
Cold-induced sweating syndrome,Middle Eastern,125,0,0,2.3579913350113664,0.48785238764018535,4,142
Cole-Carpenter syndrome,South Asian,125,0,0,2.5992487488676,0.935131959098296,2,143
"Congenital disorders of glycosylation, type II",European,125,18,0,3.122622083605893,0.3880367507230275,6,143
Cornelia de Lange syndrome,African,125,60,30,1.8865408637909957,0.5156812168239252,22,143
Cornelia de Lange syndrome,East Asian,125,0,0,2.5912118013183205,0.8043182593337331,4,143
Cornelia de Lange syndrome,European,125,50,3,1.0988571006197674,0.1995748022004397,177,143
Cornelia de Lange syndrome,Latino/Hispanic,125,66,14,1.4691550331948844,0.29333803172847345,71,143
Cornelia de Lange syndrome,Middle Eastern,125,19,14,1.8382436992414677,0.34969012992708326,11,142
Cornelia de Lange syndrome,SE Asian,125,2,0,1.7343257263357184,0.2547134543657814,9,143
Cornelia de Lange syndrome,South Asian,125,8,8,1.3890755305647697,0.34978521548686375,11,143
Craniosynostosis,European,125,0,0,1.1981492939603942,0.47182317141258806,8,143
Cutis laxa,African,125,1,0,2.2700965344161133,0.6027676304460284,5,143
Cutis laxa,European,125,0,0,0.9082162867137705,0.2766460997672881,11,143
Cutis laxa,Latino/Hispanic,125,18,0,2.3308174258235463,0.7156497820496117,4,143
Cutis laxa,Middle Eastern,125,11,7,1.3544589892565682,0.2815977651250211,17,142
Cutis laxa,South Asian,125,0,0,1.6734186363622656,0.3845174258526203,5,143
DDX23,European,125,0,0,2.818231382224778,0.6188800426093748,2,143
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",European,125,28,17,1.3218156841252517,0.4172892527527196,12,143
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",Middle Eastern,125,0,0,2.9874689560492422,0.4637186094700719,5,142
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH",European,125,0,0,2.9570336406647315,0.741282007882653,2,143
"DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS",European,125,0,0,1.368934128483663,0.338791891012988,3,143
DESANTO-SHINAWI SYNDROME; DESSH,East Asian,125,0,0,3.029197022575147,0.6264462759889761,2,143
DESANTO-SHINAWI SYNDROME; DESSH,European,125,5,4,1.1235540531768606,0.2043835762406176,14,143
DESANTO-SHINAWI SYNDROME; DESSH,Latino/Hispanic,125,0,0,1.9029323875183775,0.6379130022635953,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18,European,125,0,0,2.070175994404687,0.5321600815982713,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23,European,125,0,0,11.83936000018304,0.6356732911394485,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,European,125,1,0,1.6394401247527741,0.35784881080373127,8,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,South Asian,125,0,0,2.6564180917373434,0.5160875522845026,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2,European,125,0,0,1.3137099845626419,0.4650865860259406,7,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4,European,125,0,0,2.464937655117587,0.4624961329927294,4,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 65; DEE65,European,125,0,0,2.378991122762734,0.6880308218244965,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66,European,125,9,0,1.8621775534505884,0.44610525826202724,6,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70,European,125,5,0,2.3937535100347493,0.49649861944509394,5,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7,European,125,0,0,1.9604927884679562,0.6217313279436055,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80,European,125,0,0,1.7644207675640002,0.5905132875711564,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80,Middle Eastern,125,0,0,4.6903135276314725,0.7657826627063913,2,142
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,Middle Eastern,125,0,0,1.4132020823810953,0.46081927668244343,3,142
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84,European,125,0,0,2.21646796258598,0.5027988741158513,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87,European,125,0,0,1.4982850383799176,0.557818270679824,2,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94,European,125,0,0,1.1642342151572287,0.32017559684024177,10,143
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95,European,125,0,0,2.099350181870772,0.4571912570710085,4,143
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA,European,125,4,4,1.0465748574190146,0.35688156883281497,19,143
DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB,European,125,11,0,1.624432311527493,0.5189011134114966,8,143
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH",European,125,0,0,1.8025742374421616,0.6763648124113725,2,143
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,European,125,8,4,1.2379927491209175,0.2712005801694284,14,143
"DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA",European,125,39,25,1.8896783147026455,0.49713638196904864,14,143
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN",European,125,53,47,2.3183524152936688,0.6226844732004515,10,143
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",African,125,0,0,1.2778113046889104,0.35282581223423226,4,143
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",European,125,0,0,1.7034737660078585,0.4715212938968822,2,143
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",South Asian,125,0,0,2.668832828662275,0.674314384404992,2,143
DIETS-JONGMANS SYNDROME; DIJOS,European,125,6,0,1.5256023238927618,0.42287423972549604,9,143
DIGEORGE SYNDROME; DGS,East Asian,125,0,0,4.292932164207672,0.576810137773388,2,143
DIGEORGE SYNDROME; DGS,European,125,0,0,1.0966223136238935,0.3783963606311551,8,143
DONNAI-BARROW SYNDROME,Middle Eastern,125,0,0,1.3760610510582298,0.36701631540635626,3,142
DOWN SYNDROME,African,125,78,49,2.1042632490775075,0.7134278231584549,21,143
DUANE-RADIAL RAY SYNDROME; DRRS,European,125,0,0,1.8214366963713056,0.39516472278216247,5,143
Desbuquois dysplasia,European,125,0,0,2.9116765430492206,0.516036570958927,3,143
"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB",European,125,0,0,1.8859028554292576,0.4002572430529379,8,143
ELSAHY-WATERS SYNDROME; ESWS,European,125,11,0,5.676343499276308,0.568597690136993,4,143
Ectodermal dysplasia (select examples),East Asian,125,0,0,2.5363123777226595,0.5027070841626948,2,143
Ehlers-Danlos syndrome,East Asian,125,0,0,3.7686302386476536,0.49042106464476204,4,143
Ehlers-Danlos syndrome,European,125,57,20,1.3637900289400111,0.493129357808504,18,143
Ehlers-Danlos syndrome,Latino/Hispanic,125,0,0,2.146877591983373,0.5910182654299247,2,143
Ehlers-Danlos syndrome,Middle Eastern,125,34,27,1.7812427755413978,0.49754148745335813,12,142
