feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
eb_position_asym,13.992060243636292,0.02972498121574662,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0484409|East Asian:0.0502525|South Asian:0.0455996|Latino/Hispanic:0.0501477|SE Asian:0.0475185|European:0.0599342|Middle Eastern:0.0490661,African:0.0397116|East Asian:0.0402255|South Asian:0.0358135|Latino/Hispanic:0.0399157|SE Asian:0.0387907|European:0.0515964|Middle Eastern:0.0368817,0.04060555857388218,True
eb_medial_flare_r,23.173911569695843,0.0007402749557627752,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:-0.099973|East Asian:-0.0791965|South Asian:-0.091682|Latino/Hispanic:-0.0888702|SE Asian:-0.0925531|European:-0.0758571|Middle Eastern:-0.0729514,African:-0.0952766|East Asian:-0.0795059|South Asian:-0.0937346|Latino/Hispanic:-0.0931403|SE Asian:-0.0883669|European:-0.0796897|Middle Eastern:-0.0715018,0.0012175574930308802,True
eb_medial_flare_l,27.628873802138894,0.00011035218715359544,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:-0.0984246|East Asian:-0.0863565|South Asian:-0.0928386|Latino/Hispanic:-0.0916322|SE Asian:-0.0950875|European:-0.0758063|Middle Eastern:-0.0744562,African:-0.102123|East Asian:-0.0814621|South Asian:-0.0954167|Latino/Hispanic:-0.0895066|SE Asian:-0.0909797|European:-0.0741392|Middle Eastern:-0.0739272,0.00019732298192596262,True
eb_medial_flare_mean,27.625762809774198,0.00011050086987853908,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:-0.0991988|East Asian:-0.0827765|South Asian:-0.0922603|Latino/Hispanic:-0.0902512|SE Asian:-0.0938203|European:-0.0758317|Middle Eastern:-0.0737038,African:-0.099054|East Asian:-0.0829243|South Asian:-0.0973606|Latino/Hispanic:-0.0913595|SE Asian:-0.0881792|European:-0.0774876|Middle Eastern:-0.0726394,0.00019732298192596262,True
eb_lateral_thickness_mean,63.261730158164376,9.761683024522672e-12,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.000949895|East Asian:0.000979183|South Asian:0.000910745|Latino/Hispanic:0.000946209|SE Asian:0.000942355|European:0.000930894|Middle Eastern:0.000910906,African:0.000936073|East Asian:0.000976704|South Asian:0.000917554|Latino/Hispanic:0.000934579|SE Asian:0.000935051|European:0.000931239|Middle Eastern:0.000912234,3.6976072062585873e-11,True
eye_fissure_length_r,192.09418138449928,9.125562942852874e-39,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.206011|East Asian:0.187051|South Asian:0.208026|Latino/Hispanic:0.196724|SE Asian:0.191427|European:0.194547|Middle Eastern:0.199897,African:0.204847|East Asian:0.186945|South Asian:0.208471|Latino/Hispanic:0.197738|SE Asian:0.190385|European:0.192758|Middle Eastern:0.20025,1.6295648112237275e-37,True
eye_fissure_height_r,81.203034598878,2.0156925504099613e-15,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0713444|East Asian:0.0593406|South Asian:0.0750305|Latino/Hispanic:0.0670476|SE Asian:0.0608929|European:0.0604961|Middle Eastern:0.0719241,African:0.0748302|East Asian:0.060246|South Asian:0.0767065|Latino/Hispanic:0.0704222|SE Asian:0.0654723|European:0.06472|Middle Eastern:0.0753503,1.0498398700051881e-14,True
eye_fissure_length_l,192.74666132859295,6.629643059122447e-39,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.208|East Asian:0.186956|South Asian:0.207681|Latino/Hispanic:0.198184|SE Asian:0.193149|European:0.196525|Middle Eastern:0.202465,African:0.206145|East Asian:0.186487|South Asian:0.206911|Latino/Hispanic:0.196346|SE Asian:0.192274|European:0.194903|Middle Eastern:0.200275,1.3811756373171764e-37,True
eye_fissure_height_l,73.32432874173561,8.490063574698069e-14,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0699826|East Asian:0.0588747|South Asian:0.0740936|Latino/Hispanic:0.0665258|SE Asian:0.0604181|European:0.0599753|Middle Eastern:0.0703278,African:0.0732014|East Asian:0.060705|South Asian:0.0760977|Latino/Hispanic:0.0684032|SE Asian:0.0637991|European:0.063904|Middle Eastern:0.0729099,3.7902069529902094e-13,True
eye_fissure_length_mean,297.9343719318228,2.2664959600792158e-61,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.207006|East Asian:0.187004|South Asian:0.207854|Latino/Hispanic:0.197454|SE Asian:0.192288|European:0.195536|Middle Eastern:0.201181,African:0.207146|East Asian:0.185647|South Asian:0.208165|Latino/Hispanic:0.197986|SE Asian:0.192152|European:0.194603|Middle Eastern:0.201279,2.83311995009902e-59,True
eye_fissure_height_mean,78.41298441975802,7.597447766172391e-15,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0706635|East Asian:0.0591076|South Asian:0.074562|Latino/Hispanic:0.0667867|SE Asian:0.0606555|European:0.0602357|Middle Eastern:0.0711259,African:0.0741153|East Asian:0.0608681|South Asian:0.0760803|Latino/Hispanic:0.069149|SE Asian:0.0637839|European:0.063676|Middle Eastern:0.0749138,3.798723883086195e-14,True
eye_fissure_height_asym,30.226201837536976,3.5600938175417776e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0582944|East Asian:0.0710502|South Asian:0.0490461|Latino/Hispanic:0.0556706|SE Asian:0.0704839|European:0.110476|Middle Eastern:0.0642593,African:0.0411688|East Asian:0.0419811|South Asian:0.0257986|Latino/Hispanic:0.033437|SE Asian:0.0364537|European:0.05508|Middle Eastern:0.0403908,7.416862119878704e-05,True
eye_fissure_slant_r,41.126379931766806,2.7343185657591135e-07,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:4.51936|East Asian:5.21146|South Asian:4.72414|Latino/Hispanic:4.74429|SE Asian:5.08617|European:3.27965|Middle Eastern:3.93945,African:4.48567|East Asian:5.2346|South Asian:4.92405|Latino/Hispanic:4.78817|SE Asian:5.31845|European:3.51389|Middle Eastern:4.27046,7.430213493910634e-07,True
eye_fissure_slant_l,48.97343789166741,7.547776236569505e-09,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:4.80877|East Asian:5.61162|South Asian:4.98794|Latino/Hispanic:5.12147|SE Asian:5.19865|European:3.5707|Middle Eastern:4.11691,African:4.72764|East Asian:5.31211|South Asian:5.42544|Latino/Hispanic:5.33199|SE Asian:5.76549|European:3.6292|Middle Eastern:4.27219,2.513368790578935e-08,True
eye_fissure_slant_mean,47.76371488207994,1.3172785338346716e-08,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:4.66407|East Asian:5.41154|South Asian:4.85604|Latino/Hispanic:4.93288|SE Asian:5.14241|European:3.42518|Middle Eastern:4.02818,African:4.66269|East Asian:5.25506|South Asian:5.36703|Latino/Hispanic:5.16323|SE Asian:5.52515|European:3.59241|Middle Eastern:4.02719,4.2220465828034345e-08,True
eye_fissure_aspect_r,32.75807642089412,1.1671619082799982e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.344993|East Asian:0.318412|South Asian:0.360005|Latino/Hispanic:0.339665|SE Asian:0.318057|European:0.310435|Middle Eastern:0.359479,African:0.35188|East Asian:0.321536|South Asian:0.369461|Latino/Hispanic:0.35245|SE Asian:0.348689|European:0.32963|Middle Eastern:0.365708,2.7527403497169768e-05,True
eye_fissure_aspect_l,32.59974298467626,1.2518727867839046e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.335269|East Asian:0.314302|South Asian:0.355747|Latino/Hispanic:0.3354|SE Asian:0.31202|European:0.303278|Middle Eastern:0.34543,African:0.353039|East Asian:0.325639|South Asian:0.370183|Latino/Hispanic:0.345266|SE Asian:0.342086|European:0.323682|Middle Eastern:0.356168,2.89785367311089e-05,True
eye_fissure_aspect_mean,33.705140481925476,7.669265200214354e-06,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.340131|East Asian:0.316357|South Asian:0.357876|Latino/Hispanic:0.337532|SE Asian:0.315038|European:0.306856|Middle Eastern:0.352455,African:0.354546|East Asian:0.327538|South Asian:0.367844|Latino/Hispanic:0.347603|SE Asian:0.350773|European:0.324828|Middle Eastern:0.362201,1.843573365436143e-05,True
inter_canthal_distance,43.88598556524301,7.787063821262034e-08,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.256676|East Asian:0.253732|South Asian:0.249208|Latino/Hispanic:0.248479|SE Asian:0.255775|European:0.251951|Middle Eastern:0.247815,African:0.257184|East Asian:0.252444|South Asian:0.247488|Latino/Hispanic:0.24784|SE Asian:0.253574|European:0.252222|Middle Eastern:0.248762,2.2122340401312597e-07,True
inter_pupillary_distance,255.71244620159047,2.4657826091551825e-52,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.474853|East Asian:0.434373|South Asian:0.467122|Latino/Hispanic:0.452516|SE Asian:0.448215|European:0.455152|Middle Eastern:0.454948,African:0.476916|East Asian:0.432814|South Asian:0.467056|Latino/Hispanic:0.450451|SE Asian:0.447254|European:0.454069|Middle Eastern:0.454616,1.027409420481326e-50,True
outer_canthal_distance,220.30671163512898,8.950673539501404e-45,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.668845|East Asian:0.625613|South Asian:0.662958|Latino/Hispanic:0.641442|SE Asian:0.638337|European:0.641814|Middle Eastern:0.648712,African:0.667019|East Asian:0.624118|South Asian:0.662698|Latino/Hispanic:0.640852|SE Asian:0.637534|European:0.638105|Middle Eastern:0.647384,2.7970854810941886e-43,True
canthal_to_pupillary_ratio,295.88421082168315,6.23138432120789e-61,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.54046|East Asian:0.584363|South Asian:0.533613|Latino/Hispanic:0.549192|SE Asian:0.5709|European:0.553613|Middle Eastern:0.544957,African:0.538094|East Asian:0.58417|South Asian:0.530337|Latino/Hispanic:0.548549|SE Asian:0.568776|European:0.550974|Middle Eastern:0.547626,3.8946152007549307e-59,True
eye_epicanthus_angle_r,18.61229174130412,0.004871070428673529,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:63.7079|East Asian:63.8945|South Asian:65.0289|Latino/Hispanic:62.5423|SE Asian:61.3979|European:58.0062|Middle Eastern:65.5992,African:65.2787|East Asian:65.131|South Asian:66.1113|Latino/Hispanic:64.3335|SE Asian:65.2395|European:60.3275|Middle Eastern:68.9499,0.007611047544802389,True
eye_epicanthus_angle_l,17.270824905168453,0.008337799657333602,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:59.7671|East Asian:59.7797|South Asian:62.1357|Latino/Hispanic:59.8667|SE Asian:58.0715|European:55.0796|Middle Eastern:61.2511,African:62.0113|East Asian:61.4961|South Asian:63.0949|Latino/Hispanic:61.6137|SE Asian:60.8469|European:58.7624|Middle Eastern:62.1241,0.01240743996627024,True
eye_epicanthus_angle_mean,18.281060205983533,0.005566888721493817,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:61.7375|East Asian:61.8371|South Asian:63.5823|Latino/Hispanic:61.2045|SE Asian:59.7347|European:56.5429|Middle Eastern:63.4252,African:63.5497|East Asian:63.342|South Asian:64.7807|Latino/Hispanic:62.9249|SE Asian:63.9171|European:60.2979|Middle Eastern:65.5827,0.00859087765662626,True
eye_lower_lid_to_iris_asym,23.785059852716465,0.0005719935883305489,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0339705|East Asian:0.0485754|South Asian:0.0324192|Latino/Hispanic:0.0308564|SE Asian:0.0488439|European:0.0414973|Middle Eastern:0.0351852,African:0.0257546|East Asian:0.032084|South Asian:0.0174556|Latino/Hispanic:0.0216702|SE Asian:0.0318451|European:0.0250361|Middle Eastern:0.0241261,0.0009533226472175815,True
eye_area_r,113.46088317707392,3.8387719697917287e-22,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.00995793|East Asian:0.0075419|South Asian:0.0105034|Latino/Hispanic:0.00890933|SE Asian:0.00790008|European:0.00794139|Middle Eastern:0.00972941,African:0.0103975|East Asian:0.0077574|South Asian:0.0108979|Latino/Hispanic:0.00923324|SE Asian:0.00816712|European:0.00797095|Middle Eastern:0.0103054,4.362240874763328e-21,True
eye_area_l,101.97211345507836,9.726158319109433e-20,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.00988036|East Asian:0.00753652|South Asian:0.0104392|Latino/Hispanic:0.0089399|SE Asian:0.00793842|European:0.00802753|Middle Eastern:0.00971833,African:0.010325|East Asian:0.00771695|South Asian:0.0106733|Latino/Hispanic:0.00928768|SE Asian:0.00837816|European:0.00824468|Middle Eastern:0.0097123,7.151586999345171e-19,True
eye_area_mean,110.31475590802131,1.7513641531775186e-21,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.00991914|East Asian:0.00753921|South Asian:0.0104713|Latino/Hispanic:0.00892461|SE Asian:0.00791925|European:0.00798446|Middle Eastern:0.00972387,African:0.0102475|East Asian:0.00763353|South Asian:0.0107434|Latino/Hispanic:0.00923775|SE Asian:0.00819327|European:0.00808085|Middle Eastern:0.0101267,1.5637179939084988e-20,True
eye_area_asym,20.43507015397481,0.0023162396190031624,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.104804|East Asian:0.100108|South Asian:0.0767732|Latino/Hispanic:0.0894188|SE Asian:0.108763|European:0.134544|Middle Eastern:0.0906952,African:0.0904254|East Asian:0.0699833|South Asian:0.0611061|Latino/Hispanic:0.0630518|SE Asian:0.0741847|European:0.0826613|Middle Eastern:0.0674639,0.003711922466351222,True
eye_fissure_fill_r,28.67712325437771,7.002016013966791e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.231909|East Asian:0.216255|South Asian:0.240792|Latino/Hispanic:0.227613|SE Asian:0.214704|European:0.207854|Middle Eastern:0.242082,African:0.235993|East Asian:0.217784|South Asian:0.248392|Latino/Hispanic:0.236479|SE Asian:0.233111|European:0.220036|Middle Eastern:0.250046,0.0001313686062377996,True
eye_fissure_fill_l,29.448643761723453,5.002361105062479e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.225843|East Asian:0.213731|South Asian:0.239703|Latino/Hispanic:0.226335|SE Asian:0.210937|European:0.204129|Middle Eastern:0.233064,African:0.235823|East Asian:0.221194|South Asian:0.250064|Latino/Hispanic:0.231604|SE Asian:0.227817|European:0.216626|Middle Eastern:0.241078,9.925319652901745e-05,True
eye_fissure_fill_mean,30.322112556476007,3.4135482927932017e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.228876|East Asian:0.214993|South Asian:0.240247|Latino/Hispanic:0.226974|SE Asian:0.212821|European:0.205991|Middle Eastern:0.237573,African:0.238678|East Asian:0.219689|South Asian:0.247756|Latino/Hispanic:0.234342|SE Asian:0.236082|European:0.220078|Middle Eastern:0.244607,7.232093840663563e-05,True
iris_offset_x_r,98.48233783818313,5.201080201124701e-19,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:-0.024049|East Asian:0.0319647|South Asian:-0.0299907|Latino/Hispanic:-0.0198657|SE Asian:0.00121845|European:-0.0170593|Middle Eastern:-0.00636236,African:-0.0338163|East Asian:0.0303332|South Asian:-0.0313302|Latino/Hispanic:-0.0168225|SE Asian:-0.00134723|European:-0.0121613|Middle Eastern:-0.0077535,3.6118612507810425e-18,True
iris_offset_y_r,41.15796310871568,2.695413614484023e-07,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:-0.0513394|East Asian:-0.0513065|South Asian:-0.0620963|Latino/Hispanic:-0.0577694|SE Asian:-0.0523511|European:-0.048078|Middle Eastern:-0.0630172,African:-0.0529206|East Asian:-0.0537532|South Asian:-0.064492|Latino/Hispanic:-0.058971|SE Asian:-0.0544873|European:-0.0530711|Middle Eastern:-0.0660078,7.430213493910634e-07,True
iris_offset_x_l,29.704493855300697,4.4732954371116645e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.030602|East Asian:0.00199157|South Asian:0.0214503|Latino/Hispanic:0.0162357|SE Asian:0.00443239|European:0.0234731|Middle Eastern:0.0259613,African:0.0316462|East Asian:-0.00164121|South Asian:0.0214946|Latino/Hispanic:0.0193497|SE Asian:0.00167364|European:0.0239681|Middle Eastern:0.0244276,9.018740800628355e-05,True
iris_offset_y_l,44.914396845943294,4.8671361900036066e-08,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:-0.0482553|East Asian:-0.0477968|South Asian:-0.0617913|Latino/Hispanic:-0.0553822|SE Asian:-0.0494182|European:-0.0463687|Middle Eastern:-0.0608956,African:-0.0507099|East Asian:-0.0521884|South Asian:-0.0644369|Latino/Hispanic:-0.0574157|SE Asian:-0.0539373|European:-0.0516531|Middle Eastern:-0.0627463,1.4485524375010733e-07,True
gaze_asym_x,208.40091470319285,3.085750873165956e-42,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:-0.054651|East Asian:0.0299732|South Asian:-0.051441|Latino/Hispanic:-0.0361014|SE Asian:-0.00321395|European:-0.0405324|Middle Eastern:-0.0323237,African:-0.0610604|East Asian:0.0292209|South Asian:-0.0549826|Latino/Hispanic:-0.033432|SE Asian:-0.00868666|European:-0.0445474|Middle Eastern:-0.0390628,7.71437718291489e-41,True
gaze_asym_norm,31.832317622900344,1.757068137044959e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0667827|East Asian:0.0499867|South Asian:0.0613087|Latino/Hispanic:0.0501957|SE Asian:0.0482824|European:0.0591257|Middle Eastern:0.054689,African:0.0656004|East Asian:0.0424553|South Asian:0.0563628|Latino/Hispanic:0.0432069|SE Asian:0.0453445|European:0.0547019|Middle Eastern:0.0518008,3.922027091618212e-05,True
nose_bridge_length,16.278519522912287,0.012334600136558538,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.871981|East Asian:0.867388|South Asian:0.880391|Latino/Hispanic:0.873384|SE Asian:0.869493|European:0.864237|Middle Eastern:0.868309,African:0.876856|East Asian:0.872598|South Asian:0.884885|Latino/Hispanic:0.881087|SE Asian:0.87405|European:0.868698|Middle Eastern:0.875738,0.017520738830338833,True
nose_bridge_width,133.56269142273,2.2830475676388575e-26,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0821296|East Asian:0.0781141|South Asian:0.0797881|Latino/Hispanic:0.0786228|SE Asian:0.0785845|European:0.0785328|Middle Eastern:0.0790785,African:0.082259|East Asian:0.0778707|South Asian:0.0796897|Latino/Hispanic:0.0785105|SE Asian:0.0787361|European:0.078454|Middle Eastern:0.079022,3.1708993994984133e-25,True
nose_tip_width,168.3043428319553,1.0294319986600509e-33,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.29035|East Asian:0.260752|South Asian:0.27368|Latino/Hispanic:0.268402|SE Asian:0.266451|European:0.262277|Middle Eastern:0.264065,African:0.287525|East Asian:0.259654|South Asian:0.270845|Latino/Hispanic:0.267569|SE Asian:0.264657|European:0.261973|Middle Eastern:0.265762,1.6084874979063296e-32,True
nose_base_width,130.8408318875468,8.549603398955344e-26,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.255951|East Asian:0.227722|South Asian:0.241951|Latino/Hispanic:0.237551|SE Asian:0.23408|European:0.229835|Middle Eastern:0.231127,African:0.253475|East Asian:0.224809|South Asian:0.2374|Latino/Hispanic:0.235163|SE Asian:0.230736|European:0.226804|Middle Eastern:0.232014,1.068700424869418e-24,True
nose_tip_to_bridge_ratio,110.65762889404066,1.484462647834494e-21,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:3.53386|East Asian:3.33681|South Asian:3.42802|Latino/Hispanic:3.41236|SE Asian:3.38893|European:3.33899|Middle Eastern:3.33665,African:3.5101|East Asian:3.3171|South Asian:3.39818|Latino/Hispanic:3.39309|SE Asian:3.36282|European:3.32573|Middle Eastern:3.35162,1.4273679306100903e-20,True
nose_tip_midline_dent,13.39660812020548,0.0371527223058963,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0408054|East Asian:0.0402488|South Asian:0.041315|Latino/Hispanic:0.0415812|SE Asian:0.0407588|European:0.0404743|Middle Eastern:0.040738,African:0.0405438|East Asian:0.0402844|South Asian:0.0410257|Latino/Hispanic:0.0413776|SE Asian:0.0408251|European:0.0406322|Middle Eastern:0.0407889,0.049731772254961164,True
