internal_syndrome_name,group,disease_images
CEREBELLOFACIODENTAL SYNDROME; CFDS,European,7
CEREBROCOSTOMANDIBULAR SYNDROME; CCMS,European,8
CHANARIN-DORFMAN SYNDROME; CDS,European,2
CHANARIN-DORFMAN SYNDROME; CDS,Middle Eastern,1
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3; CMT4B3",European,3
CHARGE SYNDROME,African,2
CHARGE SYNDROME,East Asian,20
CHARGE SYNDROME,European,20
CHARGE SYNDROME,Latino/Hispanic,3
CHITAYAT SYNDROME; CHYTS,African,1
CHITAYAT SYNDROME; CHYTS,European,4
CHITAYAT SYNDROME; CHYTS,Latino/Hispanic,1
CHOPS SYNDROME; CHOPS,African,2
CHOPS SYNDROME; CHOPS,European,7
CHROMOSOME 18q DELETION SYNDROME,African,2
"CHROMOSOME 1p36 DELETION SYNDROME, DISTAL",African,2
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",African,7
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",East Asian,1
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",European,10
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",Middle Eastern,1
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",South Asian,1
CHROMOSOME 2q37 DELETION SYNDROME,European,3
CHUNG-JANSEN SYNDROME; CHUJANS,European,29
CHUNG-JANSEN SYNDROME; CHUJANS,Latino/Hispanic,1
CIMDAG SYNDROME; CIMDAG,European,3
CK SYNDROME; CKS,European,3
CLARK-BARAITSER SYNDROME; CLABARS,European,24
CLARK-BARAITSER SYNDROME; CLABARS,Middle Eastern,2
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",African,1
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",European,13
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",Latino/Hispanic,1
CLEIDOCRANIAL DYSPLASIA; CCD,African,4
CLEIDOCRANIAL DYSPLASIA; CCD,East Asian,9
CLEIDOCRANIAL DYSPLASIA; CCD,European,1
CLEIDOCRANIAL DYSPLASIA; CCD,Latino/Hispanic,2
CLEIDOCRANIAL DYSPLASIA; CCD,South Asian,3
COCKAYNE SYNDROME A; CSA,African,2
COCKAYNE SYNDROME B; CSB,East Asian,1
COFFIN-LOWRY SYNDROME; CLS,African,3
COFFIN-LOWRY SYNDROME; CLS,East Asian,9
COFFIN-LOWRY SYNDROME; CLS,European,12
COFFIN-LOWRY SYNDROME; CLS,Middle Eastern,1
"COGNITIVE FUNCTION 1, SOCIAL; CGF1",African,15
COHEN SYNDROME; COH1,African,2
COHEN SYNDROME; COH1,European,53
COHEN SYNDROME; COH1,Middle Eastern,2
COHEN-GIBSON SYNDROME; COGIS,European,5
"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY; CAKUTHED",European,3
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN",European,7
"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD",European,2
CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA; CHDED,European,1
"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD",European,18
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",African,3
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",European,15
"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA",Latino/Hispanic,1
"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA",Middle Eastern,1
"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",European,2
COSTELLO SYNDROME; CSTLO,African,1
COSTELLO SYNDROME; CSTLO,East Asian,6
COSTELLO SYNDROME; CSTLO,European,25
COSTELLO SYNDROME; CSTLO,Latino/Hispanic,4
COSTELLO SYNDROME; CSTLO,Middle Eastern,2
"CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR",European,4
CRANIOFACIAL MICROSOMIA; CFM,European,4
CRANIOFRONTONASAL SYNDROME; CFNS,East Asian,7
CRANIOFRONTONASAL SYNDROME; CFNS,European,21
CRANIOFRONTONASAL SYNDROME; CFNS,Latino/Hispanic,5
CRANIOFRONTONASAL SYNDROME; CFNS,Middle Eastern,1
CRANIOFRONTONASAL SYNDROME; CFNS,SE Asian,1
CRANIOFRONTONASAL SYNDROME; CFNS,South Asian,4
CROUZON SYNDROME,African,7
CROUZON SYNDROME,East Asian,6
CROUZON SYNDROME,European,20
CROUZON SYNDROME,Latino/Hispanic,1
CROUZON SYNDROME,Middle Eastern,3
CROUZON SYNDROME,SE Asian,6
CROUZON SYNDROME,South Asian,9
CSNK1G1,European,3
CULLER-JONES SYNDROME; CJS,Middle Eastern,1
CURRARINO SYNDROME,European,2
CURRARINO SYNDROME,Middle Eastern,1
CYSTIC FIBROSIS; CF,European,3
Cardiofaciocutaneous syndrome,East Asian,1
Cardiofaciocutaneous syndrome,European,25
Cardiofaciocutaneous syndrome,SE Asian,5
"Cardiomyopathy, familial hypertrophic",European,1
"Cardiomyopathy, familial hypertrophic",Middle Eastern,1
"Central hypoventilation syndrome, congenital",African,2
Cerebral creatine deficiency syndrome,European,2
Coffin-Siris syndrome,African,3
Coffin-Siris syndrome,East Asian,4
Coffin-Siris syndrome,European,119
Coffin-Siris syndrome,Latino/Hispanic,2
Coffin-Siris syndrome,Middle Eastern,3
Cold-induced sweating syndrome,European,5
Cold-induced sweating syndrome,Middle Eastern,4
Cole-Carpenter syndrome,East Asian,1
Cole-Carpenter syndrome,European,1
Cole-Carpenter syndrome,SE Asian,1
Cole-Carpenter syndrome,South Asian,2
"Congenital disorders of glycosylation, type II",European,6
"Congenital disorders of glycosylation, type II",Middle Eastern,1
Cornelia de Lange syndrome,African,22
Cornelia de Lange syndrome,East Asian,4
Cornelia de Lange syndrome,European,177
Cornelia de Lange syndrome,Latino/Hispanic,71
Cornelia de Lange syndrome,Middle Eastern,11
Cornelia de Lange syndrome,SE Asian,9
Cornelia de Lange syndrome,South Asian,11
Craniometaphyseal dysplasia,European,1
Craniosynostosis,East Asian,1
Craniosynostosis,European,8
Cutis laxa,African,5
Cutis laxa,European,11
Cutis laxa,Latino/Hispanic,4
Cutis laxa,Middle Eastern,17
Cutis laxa,South Asian,5
DDX23,European,2
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",European,12
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",Middle Eastern,5
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH",European,2
"DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS",European,3
DEGCAGS SYNDROME; DEGCAGS,European,1
DESANTO-SHINAWI SYNDROME; DESSH,East Asian,2
DESANTO-SHINAWI SYNDROME; DESSH,European,14
DESANTO-SHINAWI SYNDROME; DESSH,Latino/Hispanic,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13,European,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,European,8
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,Middle Eastern,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,South Asian,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2,European,7
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4,European,4
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54,European,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 65; DEE65,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66,African,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66,European,6
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70,East Asian,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70,European,5
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76; DEE76,European,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80,Middle Eastern,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,European,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,Middle Eastern,3
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,South Asian,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84,Middle Eastern,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94,European,10
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94,Latino/Hispanic,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95,European,4
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA,European,19
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA,Latino/Hispanic,1
DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB,European,8
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH",East Asian,1
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH",European,2
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH",Middle Eastern,1
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,European,14
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,Latino/Hispanic,1
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,Middle Eastern,1
"DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA",European,14
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN",African,1
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN",European,10
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",African,4
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",European,2
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",Middle Eastern,1
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",South Asian,2
DIETS-JONGMANS SYNDROME; DIJOS,European,9
DIGEORGE SYNDROME; DGS,African,1
DIGEORGE SYNDROME; DGS,East Asian,2
DIGEORGE SYNDROME; DGS,European,8
DIGEORGE SYNDROME; DGS,South Asian,1
DONNAI-BARROW SYNDROME,European,1
DONNAI-BARROW SYNDROME,Middle Eastern,3
DOWN SYNDROME,African,21
DUANE-RADIAL RAY SYNDROME; DRRS,European,5
Desbuquois dysplasia,European,3
"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB",European,8
ELSAHY-WATERS SYNDROME; ESWS,European,4
ELSAHY-WATERS SYNDROME; ESWS,Middle Eastern,1
EMANUEL SYNDROME,African,1
EMANUEL SYNDROME,East Asian,1
"EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT; FESD",European,1
Ectodermal dysplasia (select examples),East Asian,2
Ectodermal dysplasia (select examples),European,1
Ehlers-Danlos syndrome,East Asian,4
Ehlers-Danlos syndrome,European,18
Ehlers-Danlos syndrome,Latino/Hispanic,2
Ehlers-Danlos syndrome,Middle Eastern,12
"Epilepsy, progressive myoclonic",South Asian,1
"FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL/DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME; FHEIG",European,4
"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS",East Asian,1
"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS",Middle Eastern,1
"FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB",East Asian,1
"FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB",South Asian,1
"FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION; FPVEPD",European,15
FAM20B,East Asian,2
FBXW7,East Asian,1
FBXW7,European,24
FG syndrome,European,8
FG syndrome,Latino/Hispanic,1
FG syndrome,Middle Eastern,2
FILIPPI SYNDROME; FLPIS,European,3
FLOATING-HARBOR SYNDROME; FLHS,African,1
FLOATING-HARBOR SYNDROME; FLHS,East Asian,14
FLOATING-HARBOR SYNDROME; FLHS,European,62
FLOATING-HARBOR SYNDROME; FLHS,Latino/Hispanic,3
FOCAL DERMAL HYPOPLASIA; FDH,African,1
FOCAL DERMAL HYPOPLASIA; FDH,East Asian,1
FOCAL DERMAL HYPOPLASIA; FDH,European,12
FOCAL DERMAL HYPOPLASIA; FDH,Latino/Hispanic,1
FOCAL DERMAL HYPOPLASIA; FDH,SE Asian,4
FOCAL DERMAL HYPOPLASIA; FDH,South Asian,2
FONTAINE PROGEROID SYNDROME; FPS,European,9
FONTAINE PROGEROID SYNDROME; FPS,Middle Eastern,1
FOXA2,European,2
FRA10AC1,Middle Eastern,5
FRAGILE X SYNDROME; FXS,African,3
FRAGILE X SYNDROME; FXS,East Asian,1
FRAGILE X SYNDROME; FXS,European,15
FRANK-TER HAAR SYNDROME; FTHS,European,5
FRANK-TER HAAR SYNDROME; FTHS,Middle Eastern,1
FRIAS SYNDROME,European,2
"Facial paresis, hereditary congenital",Middle Eastern,5
Facioscapulohumeral muscular dystrophy,European,7
Fanconi anemia,African,1
Fanconi anemia,European,1
Focal facial dermal dysplasia,European,4
Focal facial dermal dysplasia,Latino/Hispanic,1
Focal facial dermal dysplasia,South Asian,1
Fraser syndrome,European,3
Frontometaphyseal dysplasia,East Asian,1
Frontometaphyseal dysplasia,European,3
GABRIELE-DE VRIES SYNDROME; GADEVS,East Asian,1
GABRIELE-DE VRIES SYNDROME; GADEVS,European,1
GAND SYNDROME; GAND,European,22
GAPO SYNDROME; GAPOS,African,2
GAPO SYNDROME; GAPOS,European,7
GAPO SYNDROME; GAPOS,South Asian,1
GENITOPATELLAR SYNDROME; GTPTS,East Asian,3
GENITOPATELLAR SYNDROME; GTPTS,European,10
GERODERMA OSTEODYSPLASTICUM; GO,Latino/Hispanic,2
GERODERMA OSTEODYSPLASTICUM; GO,Middle Eastern,8
GLASS SYNDROME; GLASS,East Asian,6
GLASS SYNDROME; GLASS,European,25
GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES; GDSBA,European,3
"GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF",European,4
GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE,Middle Eastern,2
GNAI1,European,7
GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS,European,1
GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS,Latino/Hispanic,3
Galloway-Mowat syndrome,African,4
Galloway-Mowat syndrome,East Asian,4
Galloway-Mowat syndrome,European,1
Growth hormone insensitivity syndrome with immune dysregulation,Latino/Hispanic,1
H3-3A,European,1
H4C3,European,2
H4C3,SE Asian,1
H4C5,African,1
H4C5,European,8
H4C9,European,3
HAJDU-CHENEY SYNDROME; HJCYS,European,3
HAO-FOUNTAIN SYNDROME; HAFOUS,African,2
HAO-FOUNTAIN SYNDROME; HAFOUS,European,33
HAREL-YOON SYNDROME; HAYOS,European,2
HARTSFIELD SYNDROME; HRTFDS,European,2
HARTSFIELD SYNDROME; HRTFDS,Latino/Hispanic,1
HEART AND BRAIN MALFORMATION SYNDROME; HBMS,European,6
HEART AND BRAIN MALFORMATION SYNDROME; HBMS,Middle Eastern,1
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,East Asian,1
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,European,55
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,Latino/Hispanic,1
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,Middle Eastern,1
HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS,European,8
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS,African,5
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS,Middle Eastern,2
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS",European,6
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS",Middle Eastern,2
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS",South Asian,2
Hennekam lymphangiectasia-lymphedema syndrome,African,1
