disease,row_count
CHUNG-JANSEN SYNDROME; CHUJANS__0001ca13,40
MYHRE SYNDROME; MYHRS__9c537410,39
NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE; NEDMIAL__163528b1,38
Hyper-IgE recurrent infection syndrome__482f9cfe,38
Bardet-Biedl syndrome__0e816837,37
GLASS SYNDROME; GLASS__de3d0f8a,37
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 57; MRD57__ca726d42",37
ZTTK SYNDROME; ZTTKS__f1c57fa5,37
BASILICATA-AKHTAR SYNDROME; MRXSBA__50b015d4,36
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB__0a95390a",36
Osteogenesis imperfecta__0821762f,36
WITTEVEEN-KOLK SYNDROME; WITKOS__5fc3555f,35
Opitz GBBB syndrome__534c3422,35
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL__c65e4e12",35
"Autism, susceptiblity to__98424777",35
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA__e5d7df20,34
Multiple congenital anomalies-hypotonia-seizures syndrome__8d671c88,34
SCHUURS-HOEIJMAKERS SYNDROME; SHMS__b6fc8f8b,34
CANTU SYNDROME__a133f1e1,33
COFFIN-LOWRY SYNDROME; CLS__d63ef1d1,33
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD__d0ea4e66,33
Meier-Gorlin syndrome__5fc08b77,32
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL__191d996d",32
BAINBRIDGE-ROPERS SYNDROME; BRPS__dbbc187d,31
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES__1f4558cc",31
CLARK-BARAITSER SYNDROME; CLABARS__7a43248e,31
OCULODENTODIGITAL DYSPLASIA; ODDD__b6c748b5,31
Orofaciodigital syndrome__59aa02a5,31
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA__fd9c20a9",30
RENPENNING SYNDROME 1; RENS1__2310d1fa,30
OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME; OCNDS__24883506,30
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CABEZAS TYPE; MRXSC__7e00eb09",30
CEBALID SYNDROME; CEBALID__922186ad,30
BLEPHAROPHIMOSIS-IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME; BIS__3ca55639,30
ALSTROM SYNDROME; ALMS__ed7a4d89,29
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21__641905ad",29
"NEURODEVELOPMENTAL DISORDER WITH NEONATAL RESPIRATORY INSUFFICIENCY, HYPOTONIA, AND FEEDING DIFFICULTIES; NEDRIHF__93d45d69",29
"ALPHA-THALASSEMIA_MENTAL RETARDATION SYNDROME, X-LINKED; ATRX__63ddb3db",28
BOHRING-OPITZ SYNDROME; BOPS__93656394,28
FOCAL DERMAL HYPOPLASIA; FDH__b990afae,28
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 6, WITH OR WITHOUT SEIZURES; MRD6__9c001fbd",28
LARSEN SYNDROME; LRS__daa54e4f,28
VERHEIJ SYNDROME; VRJS__bce524fa,28
BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS__f4c833d9,27
MARSHALL-SMITH SYNDROME; MRSHSS__3d8024b0,27
Seckel syndrome__470d9540,27
Rothmund-Thomson syndrome__ae78139b,26
SKRABAN-DEARDORFF SYNDROME; SKDEAS__ec19b863,26
RAUCH-STEINDL SYNDROME; RAUST__26c31f00,26
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS; IDDDFP__1c9966dd,26
CLEIDOCRANIAL DYSPLASIA; CCD__a103618e,26
ACROMICRIC DYSPLASIA; ACMICD__3cc21408,26
NIJMEGEN BREAKAGE SYNDROME; NBS__9c43478a,25
PSMC5__499deb40,25
Oculocutaneous albinism__94a78bdc,25
TAKENOUCHI-KOSAKI SYNDROME; TKS__2c308aac,25
KAUFMAN OCULOCEREBROFACIAL SYNDROME; KOS__f879521f,25
FBXW7__cbba0000,25
DIGEORGE SYNDROME; DGS__9be90297,25
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST__d3b5a39a",24
Stickler syndrome__b5106665,24
Waardenburg syndrome__9ce6c173,24
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA__bf123572,23
DOWN SYNDROME__9402613d,23
GAND SYNDROME; GAND__99b4d765,23
GENITOPATELLAR SYNDROME; GTPTS__ff92aaf1,23
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62; MRD62__2689ee2a",23
DESANTO-SHINAWI SYNDROME; DESSH__39dfc617,22
AYME-GRIPP SYNDROME; AYGRP__bfbc8d98,22
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS__6ec92290,21
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2__581e43e6",21
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP__f582842c",21
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA__62f14118,21
"Hypotonia, infantile, with psychomotor retardation and characteristic facies__2d46ffa5",21
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES; NEDDFL__48f67376,21
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 40; MRD40__637a7bce",20
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 93; XLID93__fca47eb0",20
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F__04a5773b",20
LIG4 SYNDROME__12dd80e6,20
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL SKELETAL ANOMALIES; NEDDFSA__5e1d7546,20
NEURODEVELOPMENTAL DISORDER WITH SPASTIC DIPLEGIA AND VISUAL DEFECTS; NEDSDV__ef12cf11,20
POIKILODERMA WITH NEUTROPENIA; PN__c6b79fcf,20
LUSCAN-LUMISH SYNDROME; LLS__6e719817,19
Trichohepatoenteric syndrome__355e14a3,19
Pontocerebellar hypoplasia__3965ecc3,18
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND VARIABLE INTELLECTUAL AND BEHAVIORAL ABNORMALITIES; NEDHIB__1887682d,18
"Leukodystrophy, hypomyelinating__3e3948ce",18
RETT SYNDROME; RTT__796e1ab7,18
Teebi hypertelorism syndrome__2ef765f6,18
MEGALENCEPHALY-CAPILLARY MALFORMATION-POLYMICROGYRIA SYNDROME; MCAP__b25f16a6,18
Hennekam lymphangiectasia-lymphedema syndrome__97a48fb8,18
LESSEL-KREIENKAMP SYNDROME; LESKRES__2790b7ef,18
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA__36118dec",18
3MC syndrome__6c005aa8,18
CDH8__93c2de42,18
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23__f7b673c7",18
"FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION; FPVEPD__b7893387",17
"MANDIBULOFACIAL DYSOSTOSIS, GUION-ALMEIDA TYPE; MFDGA__e6c924d6",17
"Microcephaly, primary__00922ad1",17
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG__4e0ec9d8",17
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1__cff6e3a6",17
BURN-MCKEOWN SYNDROME; BMKS__94b306c7,16
CHOPS SYNDROME; CHOPS__11ffffc1,16
"COGNITIVE FUNCTION 1, SOCIAL; CGF1__59cdb587",16
PFEIFFER SYNDROME__0d67235b,16
SAUL-WILSON SYNDROME; SWILS__59b9d9d3,16
TMEM147__051c779b,16
XIA-GIBBS SYNDROME; XIGIS__a0a692fc,16
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT; NDHMSD__e0c2f543",15
SHASHI-PENA SYNDROME; SHAPNS__653d2a99,15
"NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES; NEDHSB__05ebc2f0",15
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR__7f765b74",15
"DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA__5e881bdf",15
Hermansky-Pudlak syndrome__e5ac2d1d,15
JOHANSON-BLIZZARD SYNDROME; JBS__25d28c27,14
WOLF-HIRSCHHORN SYNDROME; WHS__f94cc3ea,14
SNIJDERS BLOK-CAMPEAU SYNDROME; SNIBCPS__6ce67b1f,14
PIERPONT SYNDROME; PRPTS__59c08023,14
MOEBIUS SYNDROME; MBS__78b15e27,14
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 54; MRD54__b075f83b",14
KDM2B__f01c6c4c,14
GERODERMA OSTEODYSPLASTICUM; GO__d2f7b6e5,14
FG syndrome__a82c5f04,14
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94__b1a1679a,14
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28__cda55692,14
Cold-induced sweating syndrome__948f48b8,14
H3-3B__7c81fade,14
Three M syndrome__7b34cefc,13
"SHORT STATURE, ONYCHODYSPLASIA, FACIAL DYSMORPHISM, AND HYPOTRICHOSIS; SOFT__71dae9cd",13
Zimmermann-Laband syndrome__4e6cd104,13
SHORT SYNDROME__ae39926d,13
"Microphthalmia, syndromic__040ece8c",13
SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME__ccd82c43,13
"MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT; MACID__5db04503",13
GAPO SYNDROME; GAPOS__50fdd0c7,13
"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, IMPAIRED SPEECH, AND HYPOTONIA; NEDDISH__7a96c3df",12
VICI SYNDROME; VICIS__c7d0327b,12
TURNPENNY-FRY SYNDROME; TPFS__78f557d7,12
Silver-Russell syndrome__7aea26cd,12
"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies__7fc1a263",12
O'DONNELL-LURIA-RODAN SYNDROME; ODLURO__73fe3256,12
NEURODEVELOPMENTAL DISORDER WITH SPEECH IMPAIRMENT AND DYSMORPHIC FACIES; NEDSID__7a46feed,12
"NEUROFIBROMATOSIS, TYPE I; NF1__f75bf71f",12
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA__879295cb",12
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS__000969a8",12
Galloway-Mowat syndrome__ca7a8a42,12
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN__d5e92d52",12
"Congenital disorders of glycosylation, type II__36f28646",12
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS__91c02067,12
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS__e1210636,12
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS__35255618",11
SMITH-KINGSMORE SYNDROME; SKS__26669e54,11
PHELAN-MCDERMID SYNDROME; PHMDS__56c03ccc,11
"OTOPALATODIGITAL SYNDROME, TYPE I; OPD1__bf48aeee",11
MARSHALL SYNDROME; MRSHS__54ced86e,11
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN__de6bcf04",11
BRANCHIOOCULOFACIAL SYNDROME; BOFS__df6f21e9,11
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS__0c3b430c,11
H4C5__3d3281db,11
H3-3A__c6b632c2,11
Frontometaphyseal dysplasia__022337fa,11
FONTAINE PROGEROID SYNDROME; FPS__251a3813,11
Noonan syndrome-like disorder with loose anagen hair__13a2213d,10
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF__5d7fe27e",10
NEUROOCULOCARDIOGENITOURINARY SYNDROME; NOCGUS__4ca82618,10
MARFANOID-PROGEROID-LIPODYSTROPHY SYNDROME; MFLS__e82eee1d,10
LATERAL MENINGOCELE SYNDROME; LMNS__d1805985,10
"INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIA CONGENITA, GENITAL ANOMALIES, AND IMMUNODEFIC__7efffc8e",10
BECK-FAHRNER SYNDROME; BEFAHRS__535246fd,10
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF__2c3a31f6,10
FRANK-TER HAAR SYNDROME; FTHS__a8d3e9dd,10
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87__afffc407,10
Craniosynostosis__14868c16,10
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS__511292b2",10
GNAI1__65585e29,10
"Microcephaly, growth restriction and increased sister chromatid exchange__4044d9f8",9
Linear skin defects with multiple congenital anomalies__46e88bd2,9
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2__77f2cd03",9
"MICROCEPHALY WITH OR WITHOUT CHORIORETINOPATHY, LYMPHEDEMA, OR MENTAL RETARDATION; MCLMR__5be44a5b",9
"MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND__52ec68b1",9
ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES__7c86f619,9
NABLUS MASK-LIKE FACIAL SYNDROME; NMLFS__f5885ad5,9
OPITZ-KAVEGGIA SYNDROME; OKS__1a308d58,9
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA__36c313f9",9
SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS__24611c2f,9
"Skin creases, congenital symmetric circumferential__06a4c7e2",9
Immunodeficiency-centromeric instability-facial anomalies__6d8ff5a8,9
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BILLUART TYPE; MRXSBL__7fc6a7bd",9
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26__8df6e56f",9
"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA__6d204179",9
3-Methylglutaconic aciduria__fae4ed41,9
BIRK-BAREL SYNDROME; BIBARS__c009054c,9
CAREY-FINEMAN-ZITER SYNDROME; CFZS__b07fb2e2,9
CEREBROCOSTOMANDIBULAR SYNDROME; CCMS__0487686f,9
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN__10acfffb",9
CEREBELLOFACIODENTAL SYNDROME; CFDS__2870c0ef,9
DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB__26eb0a7c,9
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH__f97a6ff0",9
DIETS-JONGMANS SYNDROME; DIJOS__a124415c,9
HEART AND BRAIN MALFORMATION SYNDROME; HBMS__7f6df58a,9
HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS__ec59dd02,9
LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM; LMHD__2fccf75d,8
YOU-HOOVER-FONG SYNDROME; YHFS__73480d8a,8
TCEAL1__9a47ca54,8
STANKIEWICZ-ISIDOR SYNDROME; STISS__496fc6fe,8
PETERS-PLUS SYNDROME; PTRPLS__55215399,8
"OTITIS MEDIA, SUSCEPTIBILITY TO; OMS__08bea86e",8
NEURODEVELOPMENTAL DISORDER AND LANGUAGE DELAY WITH OR WITHOUT STRUCTURAL BRAIN ABNORMALITIES; NEDLBA__62ca776f,8
MACS SYNDROME__beebe5bf,8
"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB__f5e2a501",8
JANSEN-DE VRIES SYNDROME; JDVS__7a3a4326,8
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD__ee7855d1",8
HARTSFIELD SYNDROME; HRTFDS__7f531d74,8
Fraser syndrome__a2a5c72f,8
Facioscapulohumeral muscular dystrophy__15b1ad31,8
ELSAHY-WATERS SYNDROME; ESWS__e0f82cf8,8
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2__6171adca,8
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR__aa0fc6e2",8
PROLIDASE DEFICIENCY__8d8e6ccb,7
MELNICK-NEEDLES SYNDROME; MNS__a4b6f2bd,7
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 58; MRD58__a2a4b3aa",7
"MYOPATHY, CONGENITAL, BAILEY-BLOCH; MYPBB__d8939ac9",7
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, STEREOTYPIC HAND MOVEMENTS, AND IMPAIRED LANGUAGE; NEDHSIL__f8805041",7
"POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS; POIKTMP__6d23a22f",7
POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME; POBINDS__26bb18cc,7
Long QT syndrome__72e8008b,7
"SHORT STATURE, BRACHYDACTYLY, IMPAIRED INTELLECTUAL DEVELOPMENT, AND SEIZURES; SBIDDS__9c15138e",7
PROTEUS SYNDROME__63e99fb4,7
RAFIQ SYNDROME; RAFQS__70008cea,7
SANDESTIG-STEFANOVA SYNDROME; SANDSTEF__90de5492,7
SIFRIM-HITZ-WEISS SYNDROME; SIHIWES__6142fea6,7
"Spinocerebellar ataxia, autosomal recessive__31110058",7
TOLCHIN-LE CAIGNEC SYNDROME; TOLCAS__5f2e7f8a,7
Tuberous sclerosis__e3cfa39d,7
MACROCEPHALY_AUTISM SYNDROME__d6794a84,7
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4__1d6385dd,7
KOSAKI OVERGROWTH SYNDROME; KOGS__80e8a0e3,7
Blepharocheilodontic syndrome__179359ce,7
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ__83e6e388",7
AL KAISSI SYNDROME; ALKAS__8db24ce8,7
AL-RAQAD SYNDROME; ARS__43273be7,7
ALAZAMI SYNDROME; ALAZS__ee8c5ef2,7
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS__ed136682,7
ALZAHRANI-KUWAHARA SYNDROME; ALKUS__cb4191a1,7
ARPC4__780f575d,7
ACHONDROPLASIA; ACH__2f7c3c38,7
CHITAYAT SYNDROME; CHYTS__4d9ce288,7
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80__ff9fd11e,7
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83__a0ff7a62,7
"EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT; FESD__b455fad8",7
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD__b5c52dae",7
INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS; IDDSSAD__daa3e749,7
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66__3ce80432,7
SIX2__e58517dc,6
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 48; MRD48__64967c96",6
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM__cacdd291",6
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, SPASTICITY, AND BRAIN ATROPHY; NEDESBA__7d1698cc",6
"NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA, SEIZURES, AND ABSENT LANGUAGE; NDHSAL__0599b171",6
"NEURODEVELOPMENTAL, JAW, EYE, AND DIGITAL SYNDROME; NEDJED__6279375d",6
REV3L__9cd868d0,6
STRUCTURAL BRAIN ANOMALIES WITH IMPAIRED INTELLECTUAL DEVELOPMENT AND CRANIOSYNOSTOSIS; BAIDCS__9bb1be86,6
"SPINOCEREBELLAR ATAXIA 42, EARLY-ONSET, SEVERE, WITH NEURODEVELOPMENTAL DEFICITS; SCA42ND__672012d2",6
SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA; SEDC__5ef56226,6
TAF4__e136707b,6
TONNE-KALSCHEUER SYNDROME; TOKAS__8bd5b15e,6
Van Maldergem syndrome__306683cb,6
LAMB-SHAFFER SYNDROME; LAMSHF__40c227d3,6
LEOPARD syndrome__e157501a,6
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type__d364ac08",6
Klippel-Feil syndrome__c7bb7b7c,6
H4C3__b85d8d66,6
KEIPERT SYNDROME; KPTS__ec74a8be,6
APERT SYNDROME__246da1f3,6
BARBER-SAY SYNDROME; BBRSAY__de7d9aea,6
BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD__dea565b9,6
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70__d41abf8f,6
Focal facial dermal dysplasia__3d651cdf,6
Cole-Carpenter syndrome__95c1e002,6
HAJDU-CHENEY SYNDROME; HJCYS__c1b1d1c0,6
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPOTONIA AND BEHAVIORAL ABNORMALITIES; IDDHBA__1f9407c0,6
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67; MRT67__af5e3839",6
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34__58aea021",6
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE; MRXSR__d1f80503",6
KAGAMI-OGATA SYNDROME__74aae56d,6
"NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ARTHROGRYPOSIS, AND STRUCTURAL BRAIN ANOMALIES; NEDMABA__384c3e13",5
MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA; MFDA__baca7ed3,5
MCCUNE-ALBRIGHT SYNDROME; MAS__473d9355,5
LI-CAMPEAU SYNDROME; LICAS__4d180bb7,5
