disease,European,Asian,African,Other
CHOPS SYNDROME; CHOPS__11ffffc1,10,1,4,1
CHROMOSOME 18q DELETION SYNDROME__b16f4535,0,0,2,0
"CHROMOSOME 1p36 DELETION SYNDROME, DISTAL__33a670a2",0,0,2,1
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL__191d996d",10,7,8,0
CHROMOSOME 2q37 DELETION SYNDROME__da58b76a,3,0,0,2
CHUNG-JANSEN SYNDROME; CHUJANS__0001ca13,29,0,0,1
CIMDAG SYNDROME; CIMDAG__c83dd446,5,0,0,0
CK SYNDROME; CKS__8063b5b6,3,0,0,0
CLARK-BARAITSER SYNDROME; CLABARS__7a43248e,28,2,0,0
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR__7f765b74",13,0,1,1
CLEIDOCRANIAL DYSPLASIA; CCD__a103618e,1,12,4,2
COCKAYNE SYNDROME A; CSA__9a125272,0,0,4,0
COCKAYNE SYNDROME B; CSB__008c9d49,0,1,1,0
COFFIN-LOWRY SYNDROME; CLS__d63ef1d1,13,11,4,0
"COGNITIVE FUNCTION 1, SOCIAL; CGF1__59cdb587",0,0,15,0
COHEN SYNDROME; COH1__982d7c55,56,2,2,1
COHEN-GIBSON SYNDROME; COGIS__28c37e1f,5,0,0,0
"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL __2a467a80",3,0,0,0
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN__10acfffb",9,0,0,0
"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD__a79a9b22",4,0,0,0
CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA; CHDED__8d6102fc,2,0,0,0
"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD__95be67b6",18,0,0,0
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2__581e43e6",16,0,3,0
"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA__6d204179",0,1,0,8
"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE__cc3a1bc4",2,1,0,0
COSTELLO SYNDROME; CSTLO__b18c56a4,29,12,1,9
"CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR__d608a659",4,0,0,0
CRANIOFACIAL MICROSOMIA; CFM__8a1d2548,4,0,0,0
CRANIOFRONTONASAL SYNDROME; CFNS__55d125ba,29,15,0,5
CROUZON SYNDROME__021fccb9,21,24,8,1
CSNK1G1__957ac5ab,3,0,0,1
CULLER-JONES SYNDROME; CJS__14633d92,0,1,0,0
CURRARINO SYNDROME__418ce1ec,2,1,0,0
CYSTIC FIBROSIS; CF__7fff2877,4,0,0,0
Cardiofaciocutaneous syndrome__16c02f0d,29,6,0,0
"Cardiomyopathy, familial hypertrophic__8cd12214",1,2,0,0
"Central hypoventilation syndrome, congenital__7067945c",0,0,2,0
Cerebral creatine deficiency syndrome__1c5c44f4,2,0,0,0
Coffin-Siris syndrome__46fda5b4,134,22,3,2
Cold-induced sweating syndrome__948f48b8,8,6,0,0
Cole-Carpenter syndrome__95c1e002,1,5,0,0
"Congenital disorders of glycosylation, type II__36f28646",9,1,0,0
Cornelia de Lange syndrome__fb4a389d,237,53,30,102
Craniometaphyseal dysplasia__c3b744f5,1,1,0,0
Craniosynostosis__14868c16,8,2,0,0
Cutis laxa__acec665e,13,27,5,7
DDX23__2f96bd74,2,0,0,0
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP__f582842c",12,6,0,0
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH__54824d45",2,0,0,0
"DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS__55d72104",3,0,0,0
DEGCAGS SYNDROME; DEGCAGS__8d383ebb,1,0,0,0
DESANTO-SHINAWI SYNDROME; DESSH__39dfc617,15,3,0,3
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13__c586aa7a,2,0,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18__061e4bd8,2,0,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23__e1a3f133,3,0,0,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28__cda55692,10,3,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2__6171adca,7,0,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4__1d6385dd,6,1,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54__72f20d8d,2,0,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 65; DEE65__d1067454,2,0,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66__3ce80432,6,0,1,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70__d41abf8f,5,1,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76; DEE76__2757d70b,4,1,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7__e4bbb232,4,0,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80__ff9fd11e,3,4,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83__a0ff7a62,1,6,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84__92ab7337,2,1,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87__afffc407,2,4,0,0
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94__b1a1679a,13,0,0,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95__f74b3f48,4,0,0,0
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA__bf123572,22,0,0,1
DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB__26eb0a7c,8,0,0,0
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH__06ac2b4a",2,2,0,1
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA__62f14118,15,4,0,2
"DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA__5e881bdf",15,0,0,0
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN__d5e92d52",11,0,1,0
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH__f97a6ff0",2,3,4,0
DIETS-JONGMANS SYNDROME; DIJOS__a124415c,9,0,0,0
DIGEORGE SYNDROME; DGS__9be90297,10,3,1,0
DONNAI-BARROW SYNDROME__4d7ff5bc,1,3,0,1
DOWN SYNDROME__9402613d,0,0,23,0
DUANE-RADIAL RAY SYNDROME; DRRS__30bbfa3b,5,0,0,0
Desbuquois dysplasia__6192a45e,4,0,0,0
"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB__f5e2a501",8,0,0,0
ELSAHY-WATERS SYNDROME; ESWS__e0f82cf8,5,3,0,0
EMANUEL SYNDROME__5bc03619,0,1,1,0
"EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT; FESD__b455fad8",1,0,0,0
Ectodermal dysplasia (select examples)__b4a56494,1,2,0,0
Ehlers-Danlos syndrome__26e9618d,21,16,0,14
"Epilepsy, progressive myoclonic__8ea1d5e1",0,2,0,1
"FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL_DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME; FHEIG__fdc86ce3",5,0,0,0
"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS__d72fd173",0,2,0,0
"FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB__eda27202",0,2,0,0
"FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION; FPVEPD__b7893387",17,0,0,0
FAM20B__3298e12f,0,3,0,0
FBXW7__cbba0000,24,1,0,0
FG syndrome__a82c5f04,9,2,0,1
FILIPPI SYNDROME; FLPIS__c9be4a0f,3,0,0,0
FLOATING-HARBOR SYNDROME; FLHS__04847afa,68,16,1,3
FOCAL DERMAL HYPOPLASIA; FDH__b990afae,16,9,1,1
FONTAINE PROGEROID SYNDROME; FPS__251a3813,10,1,0,0
FOXA2__a84d40d9,2,0,0,0
FRA10AC1__6118a2d4,0,5,0,0
FRAGILE X SYNDROME; FXS__0bf4ba77,16,2,3,0
FRANK-TER HAAR SYNDROME; FTHS__a8d3e9dd,8,2,0,0
FRIAS SYNDROME__685cd448,2,0,0,0
"Facial paresis, hereditary congenital__9cf26d12",0,5,0,0
Facioscapulohumeral muscular dystrophy__15b1ad31,7,0,0,0
Fanconi anemia__82309df0,1,0,1,0
Focal facial dermal dysplasia__3d651cdf,4,1,0,1
Fraser syndrome__a2a5c72f,4,0,2,1
Frontometaphyseal dysplasia__022337fa,3,1,0,1
GABRIELE-DE VRIES SYNDROME; GADEVS__a91f692b,1,1,0,0
GAND SYNDROME; GAND__99b4d765,23,0,0,0
GAPO SYNDROME; GAPOS__50fdd0c7,10,1,2,0
GENITOPATELLAR SYNDROME; GTPTS__ff92aaf1,14,3,0,0
GERODERMA OSTEODYSPLASTICUM; GO__d2f7b6e5,0,9,0,2
GLASS SYNDROME; GLASS__de3d0f8a,28,6,0,0
GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES; GDSBA__65900b47,3,0,0,0
"GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF__e5243c57",4,0,0,0
GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE__f94484f0,0,2,0,0
GNAI1__65585e29,7,0,0,0
GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS__b3882490,1,0,0,3
Galloway-Mowat syndrome__ca7a8a42,2,4,5,1
Griscelli syndrome__eebe07fb,0,2,0,0
Growth hormone insensitivity syndrome with immune dysregulation__68695b44,0,0,0,1
H3-3A__c6b632c2,1,0,0,0
H4C3__b85d8d66,3,1,0,2
H4C5__3d3281db,8,0,1,2
H4C9__2d342103,3,0,0,0
HAJDU-CHENEY SYNDROME; HJCYS__c1b1d1c0,3,0,0,1
HAO-FOUNTAIN SYNDROME; HAFOUS__593e62cd,35,1,2,0
HAREL-YOON SYNDROME; HAYOS__737800c9,2,0,0,0
HARTSFIELD SYNDROME; HRTFDS__7f531d74,2,1,0,1
HEART AND BRAIN MALFORMATION SYNDROME; HBMS__7f6df58a,6,1,0,0
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS__93d27023,65,3,0,2
HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS__ec59dd02,8,0,0,1
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS__0c3b430c,0,3,8,0
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS__000969a8",8,4,0,0
Hennekam lymphangiectasia-lymphedema syndrome__97a48fb8,12,4,1,0
Hermansky-Pudlak syndrome__e5ac2d1d,1,4,0,1
Holoprosencephaly__2104e049,22,0,1,4
Hutchinson-Gilford progeria__054d7fbd,39,23,8,11
Hyper-IgE recurrent infection syndrome__482f9cfe,1,16,0,2
Hyperphosphatasia with mental retardation syndrome__adb3373e,32,19,29,1
Hypoplastic left heart syndrome__4a0adc65,2,0,0,0
"Hypotonia, infantile, with psychomotor retardation and characteristic facies__2d46ffa5",5,4,8,4
IMMUNODEFICIENCY 23; IMD23__d98d765b,0,2,0,1
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD__d0ea4e66,29,2,1,0
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS__35255618",10,1,0,0
INTELLECTUAL DEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT SEIZURES;__c67a79d4,3,0,0,0
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF__2c3a31f6,1,8,1,0
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA__e5d7df20,29,4,1,0
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS; IDDDFP__1c9966dd,12,2,0,4
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES; IDDFSDA__879295cb",0,8,2,2
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF__d646cd9d,0,4,1,0
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPOTONIA AND BEHAVIORAL ABNORMALITIES; IDDHBA__1f9407c0,3,2,0,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES; IDDILF__e3ef25df,3,0,0,1
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH MACROCEPHALY, SEIZURES, AND SPEECH DELAY; IDDMSSD__b5c52dae",0,4,2,0
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH NASAL SPEECH, DYSMORPHIC FACIES, AND VARIABLE SKELETAL ANOMALIES; IDNADFS__ba7a9877",0,1,0,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN__553e60cb,28,3,0,0
INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS; IDDSSAD__daa3e749,7,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SHORT STATURE, FACIAL ANOMALIES, AND SPEECH DEFECTS; IDDSFAS__9366bcad",0,5,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF__5d7fe27e",10,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA__36118dec",9,6,0,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21__641905ad",21,7,1,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 23; MRD23__f7b673c7",11,1,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 26; MRD26__8df6e56f",3,1,1,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 38; MRD38__b1564555",0,4,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 40; MRD40__637a7bce",13,0,1,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50__3950766c",56,3,0,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 53; MRD53__fb585755",5,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 59; MRD59__f1b3798d",4,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5__2b4fdd88",45,2,0,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62; MRD62__2689ee2a",5,0,2,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7__89ede939",35,3,0,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 13; MRT13__9b31f52c",0,2,1,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 39; MRT39__317e738d",0,2,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 46; MRT46__096007b3",0,5,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 58; MRT58__bf23e96f",2,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 5; MRT5__20bd5ad4",0,2,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 65; MRT65__c33516d2",3,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 67; MRT67__af5e3839",6,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72__d08757ea",0,4,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 7; MRT7__39924a69",2,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 93; XLID93__fca47eb0",20,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 98; XLID98__fb2b6b21",2,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F__04a5773b",14,3,1,2
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33__fc2385fe",39,2,0,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34__58aea021",1,0,1,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, 35; MRXS35__5aa58c17",5,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, ARMFIELD TYPE; MRXSA__36c313f9",8,0,0,1
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BILLUART TYPE; MRXSBL__7fc6a7bd",8,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CABEZAS TYPE; MRXSC__7e00eb09",29,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ__83e6e388",5,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD__ee7855d1",3,2,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUBS TYPE; MRXSL__c65e4e12",31,4,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, LUJAN-FRYNS TYPE; MRXSLF__7eaf3509",0,2,1,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, NASCIMENTO TYPE; MRXSN__de6bcf04",4,2,0,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE; MRXSR__d1f80503",6,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB__0a95390a",36,0,0,0
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNYDER-ROBINSON TYPE; MRXSSR__aa0fc6e2",2,0,2,3
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST__d3b5a39a",22,0,0,0
"INTELLECTUAL DISABILITY-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1__cb4aa3c4",2,0,0,0
"INTRAUTERINE GROWTH RETARDATION, METAPHYSEAL DYSPLASIA, ADRENAL HYPOPLASIA CONGENITA, GENITAL ANOMALIES, AND IMMUNODEFIC__7efffc8e",10,0,0,0
Immunodeficiency-centromeric instability-facial anomalies__6d8ff5a8,2,1,1,0
Infantile liver failure syndrome__5df372d4,5,0,0,0
JANSEN-DE VRIES SYNDROME; JDVS__7a3a4326,8,0,0,0
JARID2__2453534d,2,0,0,0
JAWAD SYNDROME; JWDS__bcffec93,0,2,0,0
JOHANSON-BLIZZARD SYNDROME; JBS__25d28c27,7,0,0,3
Joubert syndrome__db50c810,48,5,6,0
KAGAMI-OGATA SYNDROME__74aae56d,0,6,0,0
