internal_syndrome_name,group,disease_images
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3; CMT4B3",European,3
CHARGE SYNDROME,African,2
CHARGE SYNDROME,Asian,24
CHARGE SYNDROME,European,20
CHARGE SYNDROME,Others,3
CHITAYAT SYNDROME; CHYTS,African,1
CHITAYAT SYNDROME; CHYTS,European,4
CHITAYAT SYNDROME; CHYTS,Others,1
CHOPS SYNDROME; CHOPS,African,2
CHOPS SYNDROME; CHOPS,Asian,1
CHOPS SYNDROME; CHOPS,European,7
CHOPS SYNDROME; CHOPS,Others,1
CHROMOSOME 18q DELETION SYNDROME,African,2
"CHROMOSOME 1p36 DELETION SYNDROME, DISTAL",African,2
"CHROMOSOME 1p36 DELETION SYNDROME, DISTAL",Others,1
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",African,7
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",Asian,7
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",European,10
CHROMOSOME 2q37 DELETION SYNDROME,European,3
CHROMOSOME 2q37 DELETION SYNDROME,Others,2
CHUNG-JANSEN SYNDROME; CHUJANS,European,29
CHUNG-JANSEN SYNDROME; CHUJANS,Others,1
CIMDAG SYNDROME; CIMDAG,European,3
CK SYNDROME; CKS,European,3
CLARK-BARAITSER SYNDROME; CLABARS,Asian,2
CLARK-BARAITSER SYNDROME; CLABARS,European,24
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",African,1
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",European,13
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",Others,1
CLEIDOCRANIAL DYSPLASIA; CCD,African,4
CLEIDOCRANIAL DYSPLASIA; CCD,Asian,12
CLEIDOCRANIAL DYSPLASIA; CCD,European,1
CLEIDOCRANIAL DYSPLASIA; CCD,Others,2
COCKAYNE SYNDROME A; CSA,African,2
COCKAYNE SYNDROME B; CSB,Asian,1
COFFIN-LOWRY SYNDROME; CLS,African,3
COFFIN-LOWRY SYNDROME; CLS,Asian,10
COFFIN-LOWRY SYNDROME; CLS,European,12
"COGNITIVE FUNCTION 1, SOCIAL; CGF1",African,15
COHEN SYNDROME; COH1,African,2
COHEN SYNDROME; COH1,Asian,2
COHEN SYNDROME; COH1,European,53
COHEN SYNDROME; COH1,Others,1
COHEN-GIBSON SYNDROME; COGIS,European,5
"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY; CAKUTHED",European,3
"CONGENITAL CATARACTS, FACIAL DYSMORPHISM, AND NEUROPATHY; CCFDN",European,7
"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD",European,2
CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA; CHDED,European,1
"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD",European,18
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",African,3
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",European,15
"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA",Asian,1
"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA",Others,3
"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",European,2
COSTELLO SYNDROME; CSTLO,African,1
COSTELLO SYNDROME; CSTLO,Asian,9
COSTELLO SYNDROME; CSTLO,European,25
COSTELLO SYNDROME; CSTLO,Others,6
"CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR",European,4
CRANIOFACIAL MICROSOMIA; CFM,European,4
CRANIOFRONTONASAL SYNDROME; CFNS,Asian,13
CRANIOFRONTONASAL SYNDROME; CFNS,European,21
CRANIOFRONTONASAL SYNDROME; CFNS,Others,5
CROUZON SYNDROME,African,7
CROUZON SYNDROME,Asian,24
CROUZON SYNDROME,European,20
CROUZON SYNDROME,Others,1
CSNK1G1,European,3
CSNK1G1,Others,1
CULLER-JONES SYNDROME; CJS,Asian,1
CURRARINO SYNDROME,Asian,1
CURRARINO SYNDROME,European,2
CYSTIC FIBROSIS; CF,European,3
Cardiofaciocutaneous syndrome,Asian,6
Cardiofaciocutaneous syndrome,European,25
"Cardiomyopathy, familial hypertrophic",Asian,2
"Cardiomyopathy, familial hypertrophic",European,1
"Central hypoventilation syndrome, congenital",African,2
Cerebral creatine deficiency syndrome,European,2
Coffin-Siris syndrome,African,3
Coffin-Siris syndrome,Asian,19
Coffin-Siris syndrome,European,119
Coffin-Siris syndrome,Others,2
Cold-induced sweating syndrome,Asian,4
Cold-induced sweating syndrome,European,5
Cole-Carpenter syndrome,Asian,4
Cole-Carpenter syndrome,European,1
"Congenital disorders of glycosylation, type II",Asian,1
"Congenital disorders of glycosylation, type II",European,6
Cornelia de Lange syndrome,African,22
Cornelia de Lange syndrome,Asian,40
Cornelia de Lange syndrome,European,177
Cornelia de Lange syndrome,Others,76
Craniometaphyseal dysplasia,Asian,1
Craniometaphyseal dysplasia,European,1
Craniosynostosis,Asian,1
Craniosynostosis,European,8
Cutis laxa,African,5
Cutis laxa,Asian,22
Cutis laxa,European,11
Cutis laxa,Others,6
DDX23,European,2
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",Asian,5
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",European,12
"DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH",European,2
"DEAFNESS, ONYCHODYSTROPHY, OSTEODYSTROPHY, MENTAL RETARDATION, AND SEIZURES SYNDROME; DOORS",European,3
DEGCAGS SYNDROME; DEGCAGS,European,1
DESANTO-SHINAWI SYNDROME; DESSH,Asian,3
DESANTO-SHINAWI SYNDROME; DESSH,European,14
DESANTO-SHINAWI SYNDROME; DESSH,Others,3
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13,European,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 18; DEE18,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23,Others,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,Asian,3
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,European,8
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2,European,7
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4,European,4
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 54; DEE54,European,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 65; DEE65,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66,African,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66,European,6
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70,Asian,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70,European,5
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76; DEE76,Asian,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 76; DEE76,European,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80,Asian,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 80; DEE80,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,Asian,4
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,European,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84,Asian,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87,Asian,4
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87,European,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94,European,10
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94,Others,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95,European,4
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA,European,19
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA,Others,1
DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB,European,8
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH",Asian,2
"DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR; DEDSSH",European,2
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,Asian,4
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,European,14
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,Others,2
"DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA",European,14
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN",African,1
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN",European,10
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",African,4
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",Asian,3
"DIABETES MELLITUS, NEONATAL, WITH CONGENITAL HYPOTHYROIDISM; NDH",European,2
DIETS-JONGMANS SYNDROME; DIJOS,European,9
DIGEORGE SYNDROME; DGS,African,1
DIGEORGE SYNDROME; DGS,Asian,3
DIGEORGE SYNDROME; DGS,European,8
DONNAI-BARROW SYNDROME,Asian,3
DONNAI-BARROW SYNDROME,European,1
DONNAI-BARROW SYNDROME,Others,1
DOWN SYNDROME,African,21
DUANE-RADIAL RAY SYNDROME; DRRS,European,5
Desbuquois dysplasia,European,3
"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB",European,8
ELSAHY-WATERS SYNDROME; ESWS,Asian,1
ELSAHY-WATERS SYNDROME; ESWS,European,4
EMANUEL SYNDROME,African,1
EMANUEL SYNDROME,Asian,1
"EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT; FESD",European,1
Ectodermal dysplasia (select examples),Asian,2
Ectodermal dysplasia (select examples),European,1
Ehlers-Danlos syndrome,Asian,16
Ehlers-Danlos syndrome,European,18
Ehlers-Danlos syndrome,Others,13
"Epilepsy, progressive myoclonic",Asian,1
"Epilepsy, progressive myoclonic",Others,1
"FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL/DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME; FHEIG",European,4
"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS",Asian,2
"FACIAL DYSMORPHISM, LENS DISLOCATION, ANTERIOR SEGMENT ABNORMALITIES, AND SPONTANEOUS FILTERING BLEBS; FDLAB",Asian,2
"FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION; FPVEPD",European,15
FAM20B,Asian,2
FBXW7,Asian,1
FBXW7,European,24
FG syndrome,Asian,2
FG syndrome,European,8
FG syndrome,Others,1
FILIPPI SYNDROME; FLPIS,European,3
FLOATING-HARBOR SYNDROME; FLHS,African,1
FLOATING-HARBOR SYNDROME; FLHS,Asian,15
FLOATING-HARBOR SYNDROME; FLHS,European,62
FLOATING-HARBOR SYNDROME; FLHS,Others,3
FOCAL DERMAL HYPOPLASIA; FDH,African,1
FOCAL DERMAL HYPOPLASIA; FDH,Asian,8
FOCAL DERMAL HYPOPLASIA; FDH,European,12
FOCAL DERMAL HYPOPLASIA; FDH,Others,1
FONTAINE PROGEROID SYNDROME; FPS,Asian,1
FONTAINE PROGEROID SYNDROME; FPS,European,9
FOXA2,European,2
FRA10AC1,Asian,5
FRAGILE X SYNDROME; FXS,African,3
FRAGILE X SYNDROME; FXS,Asian,1
FRAGILE X SYNDROME; FXS,European,15
FRANK-TER HAAR SYNDROME; FTHS,Asian,1
FRANK-TER HAAR SYNDROME; FTHS,European,5
FRIAS SYNDROME,European,2
"Facial paresis, hereditary congenital",Asian,5
Facioscapulohumeral muscular dystrophy,European,7
Fanconi anemia,African,1
Fanconi anemia,European,1
Focal facial dermal dysplasia,Asian,1
Focal facial dermal dysplasia,European,4
Focal facial dermal dysplasia,Others,1
Fraser syndrome,European,3
Fraser syndrome,Others,1
Frontometaphyseal dysplasia,Asian,1
Frontometaphyseal dysplasia,European,3
Frontometaphyseal dysplasia,Others,1
GABRIELE-DE VRIES SYNDROME; GADEVS,Asian,1
GABRIELE-DE VRIES SYNDROME; GADEVS,European,1
GAND SYNDROME; GAND,European,22
GAPO SYNDROME; GAPOS,African,2
GAPO SYNDROME; GAPOS,Asian,1
GAPO SYNDROME; GAPOS,European,7
GENITOPATELLAR SYNDROME; GTPTS,Asian,3
GENITOPATELLAR SYNDROME; GTPTS,European,10
GERODERMA OSTEODYSPLASTICUM; GO,Asian,8
GERODERMA OSTEODYSPLASTICUM; GO,Others,2
GLASS SYNDROME; GLASS,Asian,6
GLASS SYNDROME; GLASS,European,25
GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES; GDSBA,European,3
"GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF",European,4
GLYCINE ENCEPHALOPATHY WITH NORMAL SERUM GLYCINE,Asian,2
GNAI1,European,7
GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS,European,1
GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS,Others,3
Galloway-Mowat syndrome,African,4
Galloway-Mowat syndrome,Asian,4
Galloway-Mowat syndrome,European,1
Galloway-Mowat syndrome,Others,1
Growth hormone insensitivity syndrome with immune dysregulation,Others,1
H3-3A,European,1
H4C3,Asian,1
H4C3,European,2
H4C3,Others,1
H4C5,African,1
H4C5,European,8
H4C5,Others,2
H4C9,European,3
HAJDU-CHENEY SYNDROME; HJCYS,European,3
HAO-FOUNTAIN SYNDROME; HAFOUS,African,2
HAO-FOUNTAIN SYNDROME; HAFOUS,Asian,1
HAO-FOUNTAIN SYNDROME; HAFOUS,European,33
HAREL-YOON SYNDROME; HAYOS,European,2
HARTSFIELD SYNDROME; HRTFDS,European,2
HARTSFIELD SYNDROME; HRTFDS,Others,1
HEART AND BRAIN MALFORMATION SYNDROME; HBMS,Asian,1
HEART AND BRAIN MALFORMATION SYNDROME; HBMS,European,6
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,Asian,3
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,European,55
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,Others,2
HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS,European,8
HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS,Others,1
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS,African,5
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS,Asian,2
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS",Asian,4
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS",European,6
Hennekam lymphangiectasia-lymphedema syndrome,African,1
Hennekam lymphangiectasia-lymphedema syndrome,Asian,4
Hennekam lymphangiectasia-lymphedema syndrome,European,9
Hermansky-Pudlak syndrome,Asian,3
Hermansky-Pudlak syndrome,European,1
Hermansky-Pudlak syndrome,Others,1
Holoprosencephaly,African,1
Holoprosencephaly,European,21
Holoprosencephaly,Others,4
Hutchinson-Gilford progeria,African,5
Hutchinson-Gilford progeria,Asian,20
Hutchinson-Gilford progeria,European,31
Hutchinson-Gilford progeria,Others,7
Hyper-IgE recurrent infection syndrome,Asian,14
Hyper-IgE recurrent infection syndrome,European,1
Hyper-IgE recurrent infection syndrome,Others,2
Hyperphosphatasia with mental retardation syndrome,African,27
Hyperphosphatasia with mental retardation syndrome,Asian,17
Hyperphosphatasia with mental retardation syndrome,European,27
Hyperphosphatasia with mental retardation syndrome,Others,1
Hypoplastic left heart syndrome,European,2
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",African,6
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",Asian,2
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",European,3
"Hypotonia, infantile, with psychomotor retardation and characteristic facies",Others,3
IMMUNODEFICIENCY 23; IMD23,Asian,1
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,African,1
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,Asian,2
IMPAIRED INTELLECTUAL DEVELOPMENT AND DISTINCTIVE FACIAL FEATURES WITH OR WITHOUT CARDIAC DEFECTS; MRFACD,European,23
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS",Asian,1
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISTIC FEATURES AND LANGUAGE DELAY, WITH OR WITHOUT SEIZURES; IDDALDS",European,7
INTELLECTUAL DEVELOPMENTAL DISORDER WITH BEHAVIORAL ABNORMALITIES AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT SEIZURES; IDDBCS,European,3
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF,African,1
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF,Asian,7
