feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
eb_medial_flare_mean,14.401481614664078,0.002406610226132275,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0856611|African:-0.0991988|Others:-0.0902512|European:-0.0758317,Asian:-0.085806|African:-0.099054|Others:-0.0913595|European:-0.0774876,0.00546956869575517,True
eye_fissure_length_r,44.33956980481541,1.2782140258444467e-09,4,Asian:571|African:143|Others:143|European:143,Asian:0.196594|African:0.206011|Others:0.196724|European:0.194547,Asian:0.195452|African:0.204847|Others:0.197738|European:0.192758,7.98883766152779e-09,True
eye_fissure_height_r,16.300108666010324,0.0009841223945176718,4,Asian:571|African:143|Others:143|European:143,Asian:0.066788|African:0.0713444|Others:0.0670476|European:0.0604961,Asian:0.0696309|African:0.0748302|Others:0.0704222|European:0.06472,0.002674245637276282,True
eye_fissure_length_l,51.7049964471972,3.4616036010081915e-11,4,Asian:571|African:143|Others:143|European:143,Asian:0.197554|African:0.208|Others:0.198184|European:0.196525,Asian:0.196747|African:0.206145|Others:0.196346|European:0.194903,2.5452967654471993e-10,True
eye_fissure_height_l,15.754593859168859,0.0012732068364521866,4,Asian:571|African:143|Others:143|European:143,Asian:0.0659208|African:0.0699826|Others:0.0665258|European:0.0599753,Asian:0.0683264|African:0.0732014|Others:0.0684032|European:0.063904,0.003120604991304379,True
eye_fissure_length_mean,80.00163772348223,3.066795834746371e-17,4,Asian:571|African:143|Others:143|European:143,Asian:0.197074|African:0.207006|Others:0.197454|European:0.195536,Asian:0.196693|African:0.207146|Others:0.197986|European:0.194603,4.2594386593699604e-16,True
eye_fissure_height_mean,16.117364741408128,0.0010728537252525292,4,Asian:571|African:143|Others:143|European:143,Asian:0.0663544|African:0.0706635|Others:0.0667867|European:0.0602357,Asian:0.0690404|African:0.0741153|Others:0.069149|European:0.063676,0.002793889909511795,True
eye_fissure_height_asym,16.615886093285702,0.0008476435107454652,4,Asian:571|African:143|Others:143|European:143,Asian:0.0637089|African:0.0582944|Others:0.0556706|European:0.110476,Asian:0.0349192|African:0.0411688|Others:0.033437|European:0.05508,0.0024080781555268897,True
eye_fissure_slant_r,25.721731625693486,1.090640371330326e-05,4,Asian:571|African:143|Others:143|European:143,Asian:4.74171|African:4.51936|Others:4.74429|European:3.27965,Asian:4.92405|African:4.48567|Others:4.78817|European:3.51389,4.0097072475379626e-05,True
eye_fissure_slant_l,28.743116405424217,2.53576185101188e-06,4,Asian:571|African:143|Others:143|European:143,Asian:4.98029|African:4.80877|Others:5.12147|European:3.5707,Asian:5.21953|African:4.72764|Others:5.33199|European:3.6292,1.0610431127036606e-05,True
eye_fissure_slant_mean,28.734377338713234,2.5465034704887852e-06,4,Asian:571|African:143|Others:143|European:143,Asian:4.861|African:4.66407|Others:4.93288|European:3.42518,Asian:5.12646|African:4.66269|Others:5.16323|European:3.59241,1.0610431127036606e-05,True
eye_fissure_aspect_l,9.060988490145956,0.028490905498700186,4,Asian:571|African:143|Others:143|European:143,Asian:0.331851|African:0.335269|Others:0.3354|European:0.303278,Asian:0.347208|African:0.353039|Others:0.345266|European:0.323682,0.04625146996542238,True
inter_canthal_distance,20.737318060398366,0.00011936249389956734,4,Asian:571|African:143|Others:143|European:143,Asian:0.251639|African:0.256676|Others:0.248479|European:0.251951,Asian:0.250445|African:0.257184|Others:0.24784|European:0.252222,0.0003730077934361479,True
inter_pupillary_distance,102.43305539228078,4.658908104464533e-22,4,Asian:571|African:143|Others:143|European:143,Asian:0.451158|African:0.474853|Others:0.452516|European:0.455152,Asian:0.451446|African:0.476916|Others:0.450451|European:0.454069,1.4559087826451664e-20,True
outer_canthal_distance,92.45581755824634,6.501369834273063e-20,4,Asian:571|African:143|Others:143|European:143,Asian:0.643897|African:0.668845|Others:0.641442|European:0.641814,Asian:0.642569|African:0.667019|Others:0.640852|European:0.638105,1.5568644608037341e-18,True
canthal_to_pupillary_ratio,42.129765405518604,3.765620299740188e-09,4,Asian:571|African:143|Others:143|European:143,Asian:0.558482|African:0.54046|Others:0.549192|European:0.553613,Asian:0.558909|African:0.538094|Others:0.548549|European:0.550974,2.1395569884887432e-08,True
eye_epicanthus_angle_r,14.217986624757586,0.0026229622967842824,4,Asian:571|African:143|Others:143|European:143,Asian:63.9773|African:63.7079|Others:62.5423|European:58.0062,Asian:65.7866|African:65.2787|Others:64.3335|European:60.3275,0.005854826555322059,True
eye_epicanthus_angle_l,12.34339874949196,0.006294793025865063,4,Asian:571|African:143|Others:143|European:143,Asian:60.3078|African:59.7671|Others:59.8667|European:55.0796,Asian:61.8635|African:62.0113|Others:61.6137|European:58.7624,0.01174401683930049,True
eye_epicanthus_angle_mean,13.7613567580095,0.003248657483075968,4,Asian:571|African:143|Others:143|European:143,Asian:62.1426|African:61.7375|Others:61.2045|European:56.5429,Asian:64.103|African:63.5497|Others:62.9249|European:60.2979,0.006882748904821967,True
eye_area_r,24.69557861044775,1.7877102350513717e-05,4,Asian:571|African:143|Others:143|European:143,Asian:0.00891727|African:0.00995793|Others:0.00890933|European:0.00794139,Asian:0.00900854|African:0.0103975|Others:0.00923324|European:0.00797095,6.384679410897755e-05,True
eye_area_l,23.00806847045631,4.022694127069771e-05,4,Asian:571|African:143|Others:143|European:143,Asian:0.00890669|African:0.00988036|Others:0.0089399|European:0.00802753,Asian:0.0090185|African:0.010325|Others:0.00928768|European:0.00824468,0.000135901828617222,True
eye_area_mean,24.514469145787185,1.9504846454369194e-05,4,Asian:571|African:143|Others:143|European:143,Asian:0.00891198|African:0.00991914|Others:0.00892461|European:0.00798446,Asian:0.00895161|African:0.0102475|Others:0.00923775|European:0.00808085,6.772516129989304e-05,True
eye_area_asym,15.179496482026341,0.0016695073253473706,4,Asian:571|African:143|Others:143|European:143,Asian:0.0940908|African:0.104804|Others:0.0894188|European:0.134544,Asian:0.0672564|African:0.0904254|Others:0.0630518|European:0.0826613,0.003937517276762666,True
eye_fissure_fill_r,8.99842166546022,0.02931187871506296,4,Asian:571|African:143|Others:143|European:143,Asian:0.228434|African:0.231909|Others:0.227613|European:0.207854,Asian:0.237784|African:0.235993|Others:0.236479|European:0.220036,0.04697416460747269,True
eye_fissure_fill_l,9.53992409368308,0.022910406214120962,4,Asian:571|African:143|Others:143|European:143,Asian:0.224344|African:0.225843|Others:0.226335|European:0.204129,Asian:0.233957|African:0.235823|Others:0.231604|European:0.216626,0.03818401035686827,True
eye_fissure_fill_mean,9.46594787132504,0.023696390856560407,4,Asian:571|African:143|Others:143|European:143,Asian:0.226389|African:0.228876|Others:0.226974|European:0.205991,Asian:0.237757|African:0.238678|Others:0.234342|European:0.220078,0.038974327066711195,True
iris_offset_x_r,27.34342731862824,4.987787133018406e-06,4,Asian:571|African:143|Others:143|European:143,Asian:-0.000782702|African:-0.024049|Others:-0.0198657|European:-0.0170593,Asian:-0.00415072|African:-0.0338163|Others:-0.0168225|European:-0.0121613,1.9483543488353148e-05,True
iris_offset_y_r,14.92797860413465,0.0018792420763069553,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0571826|African:-0.0513394|Others:-0.0577694|European:-0.048078,Asian:-0.0590148|African:-0.0529206|Others:-0.058971|European:-0.0530711,0.004350097398858692,True
iris_offset_x_l,11.343870030692516,0.010004607508606399,4,Asian:571|African:143|Others:143|European:143,Asian:0.013437|African:0.030602|Others:0.0162357|European:0.0234731,Asian:0.0107798|African:0.0316462|Others:0.0193497|European:0.0239681,0.01736911025799722,True
iris_offset_y_l,15.516674027532197,0.0014243491051980453,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0549651|African:-0.0482553|Others:-0.0553822|European:-0.0463687,Asian:-0.0579726|African:-0.0507099|Others:-0.0574157|European:-0.0516531,0.0034239161182645322,True
gaze_asym_x,66.57863636921992,2.3047422430792687e-14,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0142197|African:-0.054651|Others:-0.0361014|European:-0.0405324,Asian:-0.0216798|African:-0.0610604|Others:-0.033432|European:-0.0445474,2.400773169874238e-13,True
gaze_asym_norm,19.305008493475647,0.00023643335011924407,4,Asian:571|African:143|Others:143|European:143,Asian:0.0535647|African:0.0667827|Others:0.0501957|European:0.0591257,Asian:0.0475752|African:0.0656004|Others:0.0432069|European:0.0547019,0.0007208333845098904,True
nose_bridge_width,107.62601638482776,3.5578416098498475e-23,4,Asian:571|African:143|Others:143|European:143,Asian:0.078891|African:0.0821296|Others:0.0786228|European:0.0785328,Asian:0.0788183|African:0.082259|Others:0.0785105|European:0.078454,2.2236510061561546e-21,True
nose_tip_width,141.30797927411805,1.974362948437679e-30,4,Asian:571|African:143|Others:143|European:143,Asian:0.266241|African:0.29035|Others:0.268402|European:0.262277,Asian:0.265401|African:0.287525|Others:0.267569|European:0.261973,2.467953685547099e-28,True
nose_base_width,105.56978517832073,9.853243104684069e-23,4,Asian:571|African:143|Others:143|European:143,Asian:0.233724|African:0.255951|Others:0.237551|European:0.229835,Asian:0.230736|African:0.253475|Others:0.235163|European:0.226804,4.105517960285028e-21,True
nose_tip_to_bridge_ratio,92.17427809463477,7.472949411857924e-20,4,Asian:571|African:143|Others:143|European:143,Asian:3.37267|African:3.53386|Others:3.41236|European:3.33899,Asian:3.34913|African:3.5101|Others:3.39309|European:3.32573,1.5568644608037341e-18,True
nose_ala_height_r,8.94042203083046,0.030093585671858006,4,Asian:571|African:143|Others:143|European:143,Asian:0.0645045|African:0.0658163|Others:0.0643103|European:0.0647205,Asian:0.0643718|African:0.0654049|Others:0.0634502|European:0.0641487,0.04761643302509178,True
nostril_region_area,63.904363236902874,8.603841195976554e-14,4,Asian:571|African:143|Others:143|European:143,Asian:0.0150379|African:0.0169427|Others:0.0156719|European:0.0152075,Asian:0.014766|African:0.0165644|Others:0.0155425|European:0.014888,7.682001067836209e-13,True
nose_to_face_area_ratio,49.75323558095139,9.016806098641376e-11,4,Asian:571|African:143|Others:143|European:143,Asian:0.0370466|African:0.0402016|Others:0.0378055|European:0.0356137,Asian:0.0366283|African:0.0404841|Others:0.0374145|European:0.0350034,5.932109275421958e-10,True
philtrum_length,21.031639504257246,0.00010369533522293893,4,Asian:571|African:143|Others:143|European:143,Asian:0.28173|African:0.291182|Others:0.278284|European:0.300968,Asian:0.2797|African:0.290722|Others:0.281211|European:0.299836,0.0003323568436632658,True
philtrum_width,42.21463452590529,3.6126429796563086e-09,4,Asian:571|African:143|Others:143|European:143,Asian:0.301454|African:0.305792|Others:0.297533|European:0.296717,Asian:0.299038|African:0.304557|Others:0.294969|European:0.294976,2.1395569884887432e-08,True
mouth_width,40.82471125424468,7.123613576481178e-09,4,Asian:571|African:143|Others:143|European:143,Asian:0.362554|African:0.395186|Others:0.379362|European:0.368556,Asian:0.355143|African:0.385052|Others:0.379281|European:0.359299,3.871529117652814e-08,True
mouth_opening,12.58254073188475,0.005632130094591847,4,Asian:571|African:143|Others:143|European:143,Asian:0.132579|African:0.169609|Others:0.117654|European:0.128646,Asian:0.118991|African:0.164154|Others:0.116539|European:0.115614,0.010666913057939105,True
upper_vermilion_height,14.117313666933367,0.002749740564897974,4,Asian:571|African:143|Others:143|European:143,Asian:0.112428|African:0.11584|Others:0.105645|European:0.10551,Asian:0.108751|African:0.111269|Others:0.100993|European:0.0956399,0.006030132817758715,True
lower_vermilion_height,9.839517544497465,0.019980729312859834,4,Asian:571|African:143|Others:143|European:143,Asian:0.187625|African:0.191264|Others:0.182203|European:0.177407,Asian:0.181295|African:0.188178|Others:0.176833|European:0.168354,0.03375123194739837,True
vermilion_total,12.877914573616772,0.0049082001158922365,4,Asian:571|African:143|Others:143|European:143,Asian:0.300053|African:0.307103|Others:0.287848|European:0.282917,Asian:0.290417|African:0.299765|Others:0.275342|European:0.262381,0.00943884637671584,True
mouth_corner_drop,13.0372414980258,0.004556756822160517,4,Asian:571|African:143|Others:143|European:143,Asian:0.155938|African:0.153255|Others:0.126335|European:0.135309,Asian:0.144066|African:0.14634|Others:0.123595|European:0.133453,0.00910634588960321,True
mouth_triangularity,13.5579648302221,0.00357297082166692,4,Asian:571|African:143|Others:143|European:143,Asian:0.17847|African:0.176041|Others:0.148874|European:0.157544,Asian:0.167322|African:0.174656|Others:0.143645|European:0.156012,0.007321661519809262,True
mouth_tenting,11.55884531885487,0.009057787741674678,4,Asian:571|African:143|Others:143|European:143,Asian:0.582832|African:0.570117|Others:0.492261|European:0.523296,Asian:0.560909|African:0.571132|Others:0.494023|European:0.520174,0.01594680940435683,True
mouth_upper_curvature_c2,13.959738731506828,0.002960470620291076,4,Asian:571|African:143|Others:143|European:143,Asian:1.78264|African:1.51961|Others:1.42846|European:1.55323,Asian:1.61685|African:1.53917|Others:1.34022|European:1.35918,0.006380324612696284,True
mouth_upper_fit_residual,22.54928106497732,5.013128767615068e-05,4,Asian:571|African:143|Others:143|European:143,Asian:0.0133066|African:0.0138377|Others:0.0119616|European:0.012389,Asian:0.0124306|African:0.0130801|Others:0.0114964|European:0.0105824,0.00016490555156628513,True
upper_lip_eversion,16.56127195297726,0.0008698238105394675,4,Asian:571|African:143|Others:143|European:143,Asian:0.0809616|African:0.0854438|Others:0.0773657|European:0.0770299,Asian:0.0788862|African:0.0815526|Others:0.0742719|European:0.0713527,0.002416177251498521,True
lip_midline_x_std,16.186230160269847,0.0010385199032297019,4,Asian:571|African:143|Others:143|European:143,Asian:0.00278324|African:0.00412384|Others:0.00321637|European:0.00340265,Asian:0.00213324|African:0.00279054|Others:0.0022599|European:0.00239015,0.0027620210192279304,True
chin_height,61.648621680551415,2.611887107841351e-13,4,Asian:571|African:143|Others:143|European:143,Asian:0.177986|African:0.154972|Others:0.18064|European:0.187991,Asian:0.177142|African:0.155325|Others:0.18079|European:0.18655,2.176572589867793e-12,True
chin_width,27.5274656218831,4.56357348252831e-06,4,Asian:571|African:143|Others:143|European:143,Asian:0.325032|African:0.330619|Others:0.32329|European:0.330261,Asian:0.321908|African:0.328376|Others:0.320066|European:0.329266,1.8401505977936733e-05,True
chin_pointedness_angle,38.993299328823376,1.7413475320028643e-08,4,Asian:571|African:143|Others:143|European:143,Asian:152.163|African:149.114|Others:152.261|European:152.044,Asian:152.312|African:149.534|Others:151.704|European:152.246,9.06951839584825e-08,True
jaw_bigonial_width,31.842796633130693,5.648300090536936e-07,4,Asian:571|African:143|Others:143|European:143,Asian:0.793598|African:0.786683|Others:0.796062|European:0.800819,Asian:0.793579|African:0.78433|Others:0.795865|European:0.801092,2.614953745618952e-06,True
forehead_width_upper,86.92076494683891,1.004177496008566e-18,4,Asian:571|African:143|Others:143|European:143,Asian:0.731028|African:0.754051|Others:0.728951|European:0.7292,Asian:0.73237|African:0.75622|Others:0.729584|European:0.727893,1.7931741000152967e-17,True
forehead_width_mid,84.66239952022705,3.0663424919730326e-18,4,Asian:571|African:143|Others:143|European:143,Asian:0.86919|African:0.89154|Others:0.867434|European:0.868142,Asian:0.869976|African:0.892105|Others:0.868339|European:0.864976,4.7911601437078635e-17,True
forehead_taper_ratio,66.05888023193542,2.9773731685628364e-14,4,Asian:571|African:143|Others:143|European:143,Asian:0.840928|African:0.845649|Others:0.840233|European:0.839825,Asian:0.841162|African:0.845918|Others:0.840601|European:0.840141,2.8628588159258044e-13,True
face_aspect_ratio,25.909657324645444,9.961954831410844e-06,4,Asian:571|African:143|Others:143|European:143,Asian:0.917029|African:0.89164|Others:0.909834|European:0.911345,Asian:0.916078|African:0.89373|Others:0.907044|European:0.908194,3.773467739170774e-05,True
face_roundness,50.3358858987326,6.775862164831862e-11,4,Asian:571|African:143|Others:143|European:143,Asian:0.962846|African:0.953547|Others:0.962575|European:0.962014,Asian:0.964416|African:0.955085|Others:0.966477|European:0.96506,4.705459836688793e-10,True
face_width_uniformity,37.7709733935269,3.160306992199304e-08,4,Asian:571|African:143|Others:143|European:143,Asian:0.762313|African:0.770367|Others:0.762507|European:0.765009,Asian:0.761052|African:0.770479|Others:0.761859|European:0.765895,1.580153496099652e-07,True
jaw_to_forehead_ratio,73.30938272896607,8.344437535769291e-16,4,Asian:571|African:143|Others:143|European:143,Asian:1.0873|African:1.04482|Others:1.09391|European:1.10001,Asian:1.08542|African:1.0402|Others:1.08868|European:1.10043,9.482315381556013e-15,True
face_triangularity,17.511982846656597,0.000554481494131015,4,Asian:571|African:143|Others:143|European:143,Asian:0.554615|African:0.560901|Others:0.555742|European:0.546396,Asian:0.55784|African:0.564641|Others:0.560698|European:0.547577,0.0016475915197477192,True
midface_width,31.723993549599964,5.983436133992348e-07,4,Asian:571|African:143|Others:143|European:143,Asian:0.581304|African:0.594509|Others:0.588311|European:0.583728,Asian:0.57847|African:0.591509|Others:0.58585|European:0.581021,2.671176845532298e-06,True
malar_bulge_mean,78.42934778071029,6.66650280730315e-17,4,Asian:571|African:143|Others:143|European:143,Asian:0.0417288|African:0.0363747|Others:0.0414835|European:0.043163,Asian:0.0420531|African:0.0364512|Others:0.0417699|European:0.0433591,8.333128509128937e-16,True
malar_bulge_asym,13.021846592403547,0.004589598328360018,4,Asian:571|African:143|Others:143|European:143,Asian:1.56415|African:2.12287|Others:1.7157|European:1.57755,Asian:1.18028|African:1.70855|Others:1.06225|European:1.30704,0.00910634588960321,True
cheek_area_mean,12.8930609880226,0.004873668008483427,4,Asian:571|African:143|Others:143|European:143,Asian:0.00755421|African:0.00736801|Others:0.00786431|European:0.00776341,Asian:0.00707139|African:0.00659724|Others:0.00719736|European:0.00736797,0.00943884637671584,True
