facekit_cohort,syndrome_name,syndrome_id,internal_syndrome_name,internal_syndrome_id
KOOLEN-DE VRIES SYNDROME; KDVS__3fd32be5,KOOLEN-DE VRIES SYNDROME; KDVS,25,KOOLEN-DE VRIES SYNDROME; KDVS,25
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F__04a5773b","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F",129,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F",129
XIA-GIBBS SYNDROME; XIGIS__a0a692fc,XIA-GIBBS SYNDROME; XIGIS,202,XIA-GIBBS SYNDROME; XIGIS,202
SIFRIM-HITZ-WEISS SYNDROME; SIHIWES__6142fea6,SIFRIM-HITZ-WEISS SYNDROME; SIHIWES,277,SIFRIM-HITZ-WEISS SYNDROME; SIHIWES,277
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS; IDDDFP__1c9966dd,INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS; IDDDFP,104,INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND PTOSIS; IDDDFP,104
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33__fc2385fe","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33",42,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33",42
"Hypotonia, infantile, with psychomotor retardation and characteristic facies__2d46ffa5","Hypotonia, infantile, with psychomotor retardation and characteristic facies",122,"Hypotonia, infantile, with psychomotor retardation and characteristic facies",122
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 65; MRT65__c33516d2","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 65; MRT65",546,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 65; MRT65",546
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 51; MRD51__5691bf95","MENTAL RETARDATION, AUTOSOMAL DOMINANT 51; MRD51",413,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 51; MRD51",413
YOU-HOOVER-FONG SYNDROME; YHFS__73480d8a,YOU-HOOVER-FONG SYNDROME; YHFS,264,YOU-HOOVER-FONG SYNDROME; YHFS,264
ACROMICRIC DYSPLASIA; ACMICD__3cc21408,ACROMICRIC DYSPLASIA; ACMICD,221,ACROMICRIC DYSPLASIA; ACMICD,221
CHOPS SYNDROME; CHOPS__11ffffc1,CHOPS SYNDROME; CHOPS,185,CHOPS SYNDROME; CHOPS,185
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS__000969a8","HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS",198,"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS",198
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPOTONIA AND BEHAVIORAL ABNORMALITIES; IDDHBA__1f9407c0,INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPOTONIA AND BEHAVIORAL ABNORMALITIES; IDDHBA,275,INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPOTONIA AND BEHAVIORAL ABNORMALITIES; IDDHBA,275
KOSAKI OVERGROWTH SYNDROME; KOGS__80e8a0e3,KOSAKI OVERGROWTH SYNDROME; KOGS,523,KOSAKI OVERGROWTH SYNDROME; KOGS,523
OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME; OCNDS__24883506,OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME; OCNDS,118,OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME; OCNDS,118
ELSAHY-WATERS SYNDROME; ESWS__e0f82cf8,ELSAHY-WATERS SYNDROME; ESWS,350,ELSAHY-WATERS SYNDROME; ESWS,350
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART; NEDBEH__462fbfbe","NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART; NEDBEH",385,"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT ANOMALIES OF THE BRAIN, EYE, OR HEART; NEDBEH",385
Kleefstra syndrome__6635f40a,Kleefstra syndrome,60,Kleefstra syndrome,60
Joubert syndrome__db50c810,Joubert syndrome,36,Joubert syndrome,36
"Arthrogryposis, distal__b1e822eb","Arthrogryposis, distal",13,"Arthrogryposis, distal",13
Holoprosencephaly__2104e049,Holoprosencephaly,28,Holoprosencephaly,28
SHASHI-PENA SYNDROME; SHAPNS__653d2a99,SHASHI-PENA SYNDROME; SHAPNS,231,SHASHI-PENA SYNDROME; SHAPNS,231
"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM__cacdd291","NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM",295,"NEURODEVELOPMENTAL DISORDER WITH EPILEPSY, CATARACTS, FEEDING DIFFICULTIES, AND DELAYED BRAIN MYELINATION; NECFM",295
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR__d69f137e","CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR",312,"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR",312
SKRABAN-DEARDORFF SYNDROME; SKDEAS__ec19b863,SKRABAN-DEARDORFF SYNDROME; SKDEAS,121,SKRABAN-DEARDORFF SYNDROME; SKDEAS,121
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 48; MRD48__64967c96","MENTAL RETARDATION, AUTOSOMAL DOMINANT 48; MRD48",291,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 48; MRD48",291
NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES; NEDDFL__48f67376,NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES; NEDDFL,116,NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES; NEDDFL,116
TAKENOUCHI-KOSAKI SYNDROME; TKS__2c308aac,TAKENOUCHI-KOSAKI SYNDROME; TKS,137,TAKENOUCHI-KOSAKI SYNDROME; TKS,137
AL KAISSI SYNDROME; ALKAS__8db24ce8,AL KAISSI SYNDROME; ALKAS,269,AL KAISSI SYNDROME; ALKAS,269
LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM; LMHD__2fccf75d,LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM; LMHD,441,LENZ-MAJEWSKI HYPEROSTOTIC DWARFISM; LMHD,441
FONTAINE PROGEROID SYNDROME; FPS__251a3813,FONTAINE PROGEROID SYNDROME; FPS,230,FONTAINE PROGEROID SYNDROME; FPS,230
"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD__95be67b6","CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD",54,"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD",54
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66__3ce80432,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66,250,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66,250
Warburg micro syndrome__9c505f69,Warburg micro syndrome,480,Warburg micro syndrome,480
"Microphthalmia, syndromic__040ece8c","Microphthalmia, syndromic",188,"Microphthalmia, syndromic",188
INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF__d646cd9d,INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF,402,INTELLECTUAL DEVELOPMENTAL DISORDER WITH HYPERTELORISM AND DISTINCTIVE FACIES; IDDHDF,402
KCTD3__d390a103,KCTD3,319,KCTD3,319
"Skin creases, congenital symmetric circumferential__06a4c7e2","Skin creases, congenital symmetric circumferential",461,"Skin creases, congenital symmetric circumferential",461
"Spinocerebellar ataxia, autosomal recessive__31110058","Spinocerebellar ataxia, autosomal recessive",249,"Spinocerebellar ataxia, autosomal recessive",249
SOTOS SYNDROME; SOTOS__bf015147,SOTOS SYNDROME; SOTOS,10,SOTOS SYNDROME; SOTOS,10
MARSHALL-SMITH SYNDROME; MRSHSS__3d8024b0,MARSHALL-SMITH SYNDROME; MRSHSS,114,MARSHALL-SMITH SYNDROME; MRSHSS,114
VERHEIJ SYNDROME; VRJS__bce524fa,VERHEIJ SYNDROME; VRJS,99,VERHEIJ SYNDROME; VRJS,99
KEPPEN-LUBINSKY SYNDROME; KPLBS__f365484d,KEPPEN-LUBINSKY SYNDROME; KPLBS,454,KEPPEN-LUBINSKY SYNDROME; KPLBS,454
NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND VARIABLE INTELLECTUAL AND BEHAVIORAL ABNORMALITIES; NEDHIB__1887682d,NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND VARIABLE INTELLECTUAL AND BEHAVIORAL ABNORMALITIES; NEDHIB,125,NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND VARIABLE INTELLECTUAL AND BEHAVIORAL ABNORMALITIES; NEDHIB,125
HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS__ec59dd02,HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS,212,HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS,212
INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF__2c3a31f6,INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF,199,INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC DEFECTS AND DYSMORPHIC FACIES; IDDCDF,199
TURNPENNY-FRY SYNDROME; TPFS__78f557d7,TURNPENNY-FRY SYNDROME; TPFS,176,TURNPENNY-FRY SYNDROME; TPFS,176
"MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT; MACID__5db04503","MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT; MACID",205,"MACROCEPHALY, ACQUIRED, WITH IMPAIRED INTELLECTUAL DEVELOPMENT; MACID",205
Cole-Carpenter syndrome__95c1e002,Cole-Carpenter syndrome,396,Cole-Carpenter syndrome,396
"SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY; SRMMD__d8cdde37","SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY; SRMMD",390,"SHORT STATURE, RHIZOMELIC, WITH MICROCEPHALY, MICROGNATHIA, AND DEVELOPMENTAL DELAY; SRMMD",390
SCHAAF-YANG SYNDROME; SHFYNG__ec4c0f98,SCHAAF-YANG SYNDROME; SHFYNG,35,SCHAAF-YANG SYNDROME; SHFYNG,35
FOCAL DERMAL HYPOPLASIA; FDH__b990afae,FOCAL DERMAL HYPOPLASIA; FDH,83,FOCAL DERMAL HYPOPLASIA; FDH,83
GLASS SYNDROME; GLASS__de3d0f8a,GLASS SYNDROME; GLASS,58,GLASS SYNDROME; GLASS,58
